drug_id,drug_name,approval_status,drug_type
DB00027,Gramicidin D,approved,small molecule
DB00080,Daptomycin,approved,small molecule
DB00140,Riboflavin,approved,small molecule
DB00152,Thiamine,approved,small molecule
DB00173,Adenine,approved,small molecule
DB00229,Cefotiam,approved,small molecule
DB00256,Lymecycline,approved,small molecule
DB00259,Sulfanilamide,approved,small molecule
DB00260,Cycloserine,approved,small molecule
DB00263,Sulfisoxazole,approved,small molecule
DB00267,Cefmenoxime,approved,small molecule
DB00274,Cefmetazole,approved,small molecule
DB00303,Ertapenem,approved,small molecule
DB00330,Ethambutol,approved,small molecule
DB00336,Nitrofural,approved,small molecule
DB00339,Pyrazinamide,approved,small molecule
DB00355,Aztreonam,approved,small molecule
DB00359,Sulfadiazine,approved,small molecule
DB00417,Phenoxymethylpenicillin,approved,small molecule
DB00430,Cefpiramide,approved,small molecule
DB00438,Ceftazidime,approved,small molecule
DB00440,Trimethoprim,approved,small molecule
DB00446,Chloramphenicol,approved,small molecule
DB00452,Framycetin,approved,small molecule
DB00453,Clomocycline,experimental,small molecule
DB00456,Cefalotin,approved,small molecule
DB00479,Amikacin,approved,small molecule
DB00548,Azelaic acid,approved,small molecule
DB00560,Tigecycline,approved,small molecule
DB00576,Sulfamethizole,approved,small molecule
DB00578,Carbenicillin,approved,small molecule
DB00581,Lactulose,approved,small molecule
DB00595,Oxytetracycline,approved,small molecule
DB00609,Ethionamide,approved,small molecule
DB00615,Rifabutin,approved,small molecule
DB00634,Sulfacetamide,approved,small molecule
DB00664,Sulfametopyrazine,approved,small molecule
DB00671,Cefixime,approved,small molecule
DB00689,Cephaloglycin,approved,small molecule
DB00698,Nitrofurantoin,approved,small molecule
DB00730,Thiabendazole,approved,small molecule
DB00756,Hexachlorophene,approved,small molecule
DB00759,Tetracycline,approved,small molecule
DB00760,Meropenem,approved,small molecule
DB00778,Roxithromycin,approved,small molecule
DB00798,Gentamicin,approved,small molecule
DB00803,Colistin,approved,biotech
DB00828,Fosfomycin,approved,small molecule
DB00891,Sulfapyridine,approved,small molecule
DB00919,Spectinomycin,approved,small molecule
DB00948,Mezlocillin,approved,small molecule
DB00951,Isoniazid,approved,small molecule
DB00955,Netilmicin,approved,small molecule
DB00994,Neomycin,approved,small molecule
DB01000,Cyclacillin,approved,small molecule
DB01015,Sulfamethoxazole,approved,small molecule
DB01017,Minocycline,approved,small molecule
DB01034,Cerulenin,experimental,small molecule
DB01045,Rifampin,approved,small molecule
DB01053,Benzylpenicillin,approved,small molecule
DB01082,Streptomycin,approved,small molecule
DB01111,Colistimethate,approved,small molecule
DB01147,Cloxacillin,approved,small molecule
DB01163,Amdinocillin,investigational,small molecule
DB01172,Kanamycin,approved,small molecule
DB01201,Rifapentine,approved,small molecule
DB01211,Clarithromycin,approved,small molecule
DB01220,Rifaximin,approved,small molecule
DB01298,Sulfacytine,approved,small molecule
DB01299,Sulfadoxine,approved,small molecule
DB01301,Rolitetracycline,approved,small molecule
DB01327,Cefazolin,approved,small molecule
DB01328,Cefonicid,approved,small molecule
DB01329,Cefoperazone,approved,small molecule
DB01331,Cefoxitin,approved,small molecule
DB01332,Ceftizoxime,approved,small molecule
DB01333,Cefradine,approved,small molecule
DB01369,Quinupristin,approved,small molecule
DB01413,Cefepime,approved,small molecule
DB01414,Cefacetrile,experimental,small molecule
DB01415,Ceftibuten,approved,small molecule
DB01416,Cefpodoxime,approved,small molecule
DB01581,Sulfamerazine,approved,small molecule
DB01582,Sulfamethazine,approved,small molecule
DB01598,Imipenem,approved,small molecule
DB01602,Bacampicillin,approved,small molecule
DB01629,5-fluorouridine,experimental,small molecule
DB01634,2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine,experimental,small molecule
DB01639,N-Methyl-Pyridoxal-5'-Phosphate,experimental,small molecule
DB01642,methyl beta-D-glucopyranoside,experimental,small molecule
DB01643,Thymidine monophosphate,experimental,small molecule
DB01655,L-gulonic acid 6-phosphate,experimental,small molecule
DB01657,"2-amino-3-[4-hydroxy-6-oxo-3-(2-phenyl-cyclopropylimino)-cyclohexa-1,4-dienyl]-propionic acid",experimental,small molecule
DB01661,1-(5-phospho-D-ribosyl)-ATP,experimental,small molecule
DB01673,Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine,experimental,small molecule
DB01690,Bis(Adenosine)-5'-Triphosphate,experimental,small molecule
DB01691,Indole Naphthyridinone,experimental,small molecule
DB01692,Dithioerythritol,experimental,small molecule
DB01694,D-tartaric acid,experimental,small molecule
DB01715,"7,8-Diamino-Nonanoic Acid",experimental,small molecule
DB01717,Bis(Adenosine)-5'-Pentaphosphate,experimental,small molecule
DB01718,Cetrimonium,approved,small molecule
DB01727,Isocitric Acid,experimental,small molecule
DB01747,Coprogen,experimental,small molecule
DB01752,S-adenosyl-L-homocysteine,experimental,small molecule
DB01758,3-Iodo-Tyrosine,experimental,small molecule
DB01774,Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester,experimental,small molecule
DB01783,Pantothenic acid,approved,small molecule
DB01785,Dimethylallyl Diphosphate,experimental,small molecule
DB01796,Quinolinic Acid,experimental,small molecule
DB01799,4-Hydroxy-3-Methyl Butyl Diphosphate,experimental,small molecule
DB01813,Pyridoxyl-Glutamic Acid-5'-Monophosphate,experimental,small molecule
DB01815,Nz-(Dicarboxymethyl)Lysine,experimental,small molecule
DB01817,Threonine-Aspartic Ester,experimental,small molecule
DB01819,Phosphoenolpyruvate,experimental,small molecule
DB01859,4-CDP-2-C-methyl-D-erythritol 2-phosphate,experimental,small molecule
DB01861,Uridine diphosphate glucose,experimental,small molecule
DB01862,Isopropyl beta-D-thiogalactopyranoside,experimental,small molecule
DB01865,3-(6-Aminopyridin-3-Yl)-N-Methyl-N-[(1-Methyl-1h-Indol-2-Yl)Methyl]Acrylamide,experimental,small molecule
DB01885,D-Galctopyranosyl-1-On,experimental,small molecule
DB01896,M-Aminophenylboronic Acid,experimental,small molecule
DB01917,Putrescine,experimental,small molecule
DB01920,1-O-[O-Nitrophenyl]-Beta-D-Galactopyranose,experimental,small molecule
DB01923,L-Xylulose 5-Phosphate,experimental,small molecule
DB01930,"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",experimental,small molecule
DB01934,Arylomycin A2,experimental,small molecule
DB01936,alpha-D-arabinofuranose,investigational,small molecule
DB01942,Formic acid,investigational,small molecule
DB01956,Taurine,approved,small molecule
DB01965,"2'-Deoxyuridine 5'-alpha,beta-imido-triphosphate",experimental,small molecule
DB01972,Guanosine-5'-Monophosphate,experimental,small molecule
DB01975,AMPCPR,experimental,small molecule
DB01987,Cocarboxylase,approved,small molecule
DB01992,Coenzyme A,investigational,small molecule
DB02007,alpha-D-glucose 6-phosphate,experimental,small molecule
DB02015,Dihydrofolic Acid,experimental,small molecule
DB02024,3-phenylpropionic acid,experimental,small molecule
DB02031,"(6S)-5,6,7,8-tetrahydrofolic acid",experimental,small molecule
