disease_name,kegg_drug_id
Pathogenic Escherichia coli infection,D12708
Pathogenic Escherichia coli infection,D12717
Pathogenic Escherichia coli infection,D02755
Pathogenic Escherichia coli infection,D00829
Pathogenic Escherichia coli infection,D07883
Pathogenic Escherichia coli infection,D00359
Pathogenic Escherichia coli infection,D00434
Pathogenic Escherichia coli infection,D00887
Pathogenic Escherichia coli infection,D00889
Pathogenic Escherichia coli infection,D00892
Pathogenic Escherichia coli infection,D00893
Pathogenic Escherichia coli infection,D01862
Pathogenic Escherichia coli infection,D01915
Pathogenic Escherichia coli infection,D02258
Pathogenic Escherichia coli infection,D03601
Pathogenic Escherichia coli infection,D03643
Pathogenic Escherichia coli infection,D03816
Pathogenic Escherichia coli infection,D07474
Pathogenic Escherichia coli infection,D07661
Pathogenic Escherichia coli infection,D07983
Pathogenic Escherichia coli infection,D08410
Pathogenic Escherichia coli infection,D08492
Pathogenic Escherichia coli infection,D10568
Pathogenic Escherichia coli infection,D11092
Pathogenic Escherichia coli infection,D11095
Pathogenic Escherichia coli infection,D00752
Pathogenic Escherichia coli infection,D01392
Pathogenic Escherichia coli infection,D04936
Pathogenic Escherichia coli infection,D05094
Pathogenic Escherichia coli infection,D05095
Pathogenic Escherichia coli infection,D05096
Pathogenic Escherichia coli infection,D06130
Pathogenic Escherichia coli infection,D00123
Pathogenic Escherichia coli infection,D00131
Pathogenic Escherichia coli infection,D12792
Pathogenic Escherichia coli infection,D00749
Pathogenic Escherichia coli infection,D03154
Pathogenic Escherichia coli infection,D10172
Pathogenic Escherichia coli infection,D11890
Pathogenic Escherichia coli infection,D12505
Pathogenic Escherichia coli infection,D13127
Pathogenic Escherichia coli infection,D13128
Pathogenic Escherichia coli infection,D00142
Pathogenic Escherichia coli infection,D02115
Pathogenic Escherichia coli infection,D03828
Pathogenic Escherichia coli infection,D03942
Pathogenic Escherichia coli infection,D05500
Pathogenic Escherichia coli infection,D05589
Pathogenic Escherichia coli infection,D05999
Pathogenic Escherichia coli infection,D06238
Pathogenic Escherichia coli infection,D06239
Pathogenic Escherichia coli infection,D06503
Pathogenic Escherichia coli infection,D07472
Pathogenic Escherichia coli infection,D10596
Pathogenic Escherichia coli infection,D11352
Pathogenic Escherichia coli infection,D13147
Pathogenic Escherichia coli infection,D00236
Pathogenic Escherichia coli infection,D05177
Pathogenic Escherichia coli infection,D11077
Pathogenic Escherichia coli infection,D03021
Pathogenic Escherichia coli infection,D03665
Pathogenic Escherichia coli infection,D11740
Pathogenic Escherichia coli infection,D00323
Pathogenic Escherichia coli infection,D00391
Pathogenic Escherichia coli infection,D00584
Pathogenic Escherichia coli infection,D01064
Pathogenic Escherichia coli infection,D01223
Pathogenic Escherichia coli infection,D01244
Pathogenic Escherichia coli infection,D01309
Pathogenic Escherichia coli infection,D01784
Pathogenic Escherichia coli infection,D04197
Pathogenic Escherichia coli infection,D04964
Pathogenic Escherichia coli infection,D07974
Pathogenic Escherichia coli infection,D10803
Pathogenic Escherichia coli infection,D11447
Pathogenic Escherichia coli infection,D12388
Pathogenic Escherichia coli infection,D12528
Pathogenic Escherichia coli infection,D04537
Pathogenic Escherichia coli infection,D00161
Pathogenic Escherichia coli infection,D04931
Pathogenic Escherichia coli infection,D06109
Pathogenic Escherichia coli infection,D08603
Pathogenic Escherichia coli infection,D00925
Pathogenic Escherichia coli infection,D02187
Pathogenic Escherichia coli infection,D02188
Pathogenic Escherichia coli infection,D04253
Pathogenic Escherichia coli infection,D07995
Pathogenic Escherichia coli infection,D00433
Pathogenic Escherichia coli infection,D00447
Pathogenic Escherichia coli infection,D00450
Pathogenic Escherichia coli infection,D00580
Pathogenic Escherichia coli infection,D00587
Pathogenic Escherichia coli infection,D00592
Pathogenic Escherichia coli infection,D00870
Pathogenic Escherichia coli infection,D00871
Pathogenic Escherichia coli infection,D01047
Pathogenic Escherichia coli infection,D01141
Pathogenic Escherichia coli infection,D01142
Pathogenic Escherichia coli infection,D01216
Pathogenic Escherichia coli infection,D01526
Pathogenic Escherichia coli infection,D01601
Pathogenic Escherichia coli infection,D01954
Pathogenic Escherichia coli infection,D02001
Pathogenic Escherichia coli infection,D02434
Pathogenic Escherichia coli infection,D02435
Pathogenic Escherichia coli infection,D02436
Pathogenic Escherichia coli infection,D02437
Pathogenic Escherichia coli infection,D02439
Pathogenic Escherichia coli infection,D02440
Pathogenic Escherichia coli infection,D02447
Pathogenic Escherichia coli infection,D02450
Pathogenic Escherichia coli infection,D02516
Pathogenic Escherichia coli infection,D02517
Pathogenic Escherichia coli infection,D02519
Pathogenic Escherichia coli infection,D02520
Pathogenic Escherichia coli infection,D05023
Pathogenic Escherichia coli infection,D05947
Pathogenic Escherichia coli infection,D05948
Pathogenic Escherichia coli infection,D05949
Pathogenic Escherichia coli infection,D05952
Pathogenic Escherichia coli infection,D05956
Pathogenic Escherichia coli infection,D05957
Pathogenic Escherichia coli infection,D07060
Pathogenic Escherichia coli infection,D07239
Pathogenic Escherichia coli infection,D07240
Pathogenic Escherichia coli infection,D07241
Pathogenic Escherichia coli infection,D08538
Pathogenic Escherichia coli infection,D08539
Pathogenic Escherichia coli infection,D08540
Pathogenic Escherichia coli infection,D08543
Pathogenic Escherichia coli infection,D12465
Pathogenic Escherichia coli infection,D12466
Pathogenic Escherichia coli infection,D00216
Pathogenic Escherichia coli infection,D11738
Pathogenic Escherichia coli infection,D11739
Pathogenic Escherichia coli infection,D00155
Pathogenic Escherichia coli infection,D11017
Pathogenic Escherichia coli infection,D11679
Pathogenic Escherichia coli infection,D00877
Pathogenic Escherichia coli infection,D09324
Pathogenic Escherichia coli infection,D09872
Pathogenic Escherichia coli infection,D09873
Pathogenic Escherichia coli infection,D09788
Pathogenic Escherichia coli infection,D04458
Pathogenic Escherichia coli infection,D08044
Pathogenic Escherichia coli infection,D10595
Pathogenic Escherichia coli infection,D12277
Pathogenic Escherichia coli infection,D12991
Pathogenic Escherichia coli infection,D01805
Pathogenic Escherichia coli infection,D11004
Pathogenic Escherichia coli infection,D00304
Pathogenic Escherichia coli infection,D00399
Pathogenic Escherichia coli infection,D00710
Pathogenic Escherichia coli infection,D08667
Pathogenic Escherichia coli infection,D07258
Pathogenic Escherichia coli infection,D04245
Pathogenic Escherichia coli infection,D05396
Pathogenic Escherichia coli infection,D06596
Pathogenic Escherichia coli infection,D10431
Pathogenic Escherichia coli infection,D10432
Pathogenic Escherichia coli infection,D00145
Pathogenic Escherichia coli infection,D06097
Pathogenic Escherichia coli infection,D06236
Pathogenic Escherichia coli infection,D07238
Pathogenic Escherichia coli infection,D08337
Pathogenic Escherichia coli infection,D08563
Pathogenic Escherichia coli infection,D08644
Pathogenic Escherichia coli infection,D11085
Pathogenic Escherichia coli infection,D11981
Pathogenic Escherichia coli infection,D00505
Pathogenic Escherichia coli infection,D00785
Pathogenic Escherichia coli infection,D00826
Pathogenic Escherichia coli infection,D01097
Pathogenic Escherichia coli infection,D01888
Pathogenic Escherichia coli infection,D02559
Pathogenic Escherichia coli infection,D02560
Pathogenic Escherichia coli infection,D02561
Pathogenic Escherichia coli infection,D02562
Pathogenic Escherichia coli infection,D02563
Pathogenic Escherichia coli infection,D02564
Pathogenic Escherichia coli infection,D02579
Pathogenic Escherichia coli infection,D02580
Pathogenic Escherichia coli infection,D02581
Pathogenic Escherichia coli infection,D03239
Pathogenic Escherichia coli infection,D03248
Pathogenic Escherichia coli infection,D03409
Pathogenic Escherichia coli infection,D03731
Pathogenic Escherichia coli infection,D03733
Pathogenic Escherichia coli infection,D04092
Pathogenic Escherichia coli infection,D04681
Pathogenic Escherichia coli infection,D05033
Pathogenic Escherichia coli infection,D05039
Pathogenic Escherichia coli infection,D05040
Pathogenic Escherichia coli infection,D05458
Pathogenic Escherichia coli infection,D05459
Pathogenic Escherichia coli infection,D07337
Pathogenic Escherichia coli infection,D07338
Pathogenic Escherichia coli infection,D08085
Pathogenic Escherichia coli infection,D08349
Pathogenic Escherichia coli infection,D08392
Pathogenic Escherichia coli infection,D08393
Pathogenic Escherichia coli infection,D08453
Pathogenic Escherichia coli infection,D08469
Pathogenic Escherichia coli infection,D08625
Pathogenic Escherichia coli infection,D10158
Pathogenic Escherichia coli infection,D10191
Pathogenic Escherichia coli infection,D10829
Pathogenic Escherichia coli infection,D11224
Pathogenic Escherichia coli infection,D13114
Pathogenic Escherichia coli infection,D00220
Pathogenic Escherichia coli infection,D03086
Pathogenic Escherichia coli infection,D04234
Pathogenic Escherichia coli infection,D06180
Pathogenic Escherichia coli infection,D12197
Pathogenic Escherichia coli infection,D00282
Pathogenic Escherichia coli infection,D00322
Pathogenic Escherichia coli infection,D00350
Pathogenic Escherichia coli infection,D00351
Pathogenic Escherichia coli infection,D00416
Pathogenic Escherichia coli infection,D00578
Pathogenic Escherichia coli infection,D00880
Pathogenic Escherichia coli infection,D00881
Pathogenic Escherichia coli infection,D00882
Pathogenic Escherichia coli infection,D00885
Pathogenic Escherichia coli infection,D00886
Pathogenic Escherichia coli infection,D00888
Pathogenic Escherichia coli infection,D00890
