pathway_id,kegg_drug_id
map01240,D01601
map01240,D01954
map01240,D02001
map01240,D02434
map01240,D02435
map01240,D02436
map01240,D02437
map01240,D02439
map01240,D02440
map01240,D02447
map01240,D02450
map01240,D02516
map01240,D02517
map01240,D02519
map01240,D02520
map01240,D05023
map01240,D05947
map01240,D05948
map01240,D05949
map01240,D05952
map01240,D05956
map01240,D05957
map01240,D07060
map01240,D07239
map01240,D07240
map01240,D07241
map01240,D08538
map01240,D08539
map01240,D08540
map01240,D08543
map00220,D11738
map00220,D11739
map00250,D11738
map00250,D11739
map00400,D11077
map00790,D00142
map00790,D02115
map00790,D03828
map00790,D03942
map00790,D05500
map00790,D05589
map00790,D05999
map00790,D06238
map00790,D06239
map00790,D06503
map00790,D07472
map00790,D10596
map00790,D11352
map00790,D13147
map00790,D11077
map00790,D00433
map00790,D00447
map00790,D00450
map00790,D00580
map00790,D00587
map00790,D00592
map00790,D00870
map00790,D00871
map00790,D01047
map00790,D01141
map00790,D01142
map00790,D01216
map00790,D01526
map00790,D01601
map00790,D01954
map00790,D02001
map00790,D02434
map00790,D02435
map00790,D02436
map00790,D02437
map00790,D02439
map00790,D02440
map00790,D02447
map00790,D02450
map00790,D02516
map00790,D02517
map00790,D02519
map00790,D02520
map00790,D05023
map00790,D05947
map00790,D05948
map00790,D05949
map00790,D05952
map00790,D05956
map00790,D05957
map00790,D07060
map00790,D07239
map00790,D07240
map00790,D07241
map00790,D08538
map00790,D08539
map00790,D08540
map00790,D08543
map01502,D00877
map01502,D09788
map04146,D10901
map04146,D11044
map04146,D11090
map04146,D11834
map04146,D11835
map04146,D12483
map04146,D12708
map04146,D12717
map04146,D11811
map00770,D00123
map00770,D00131
map00670,D00142
map00670,D02115
map00670,D03828
map00670,D03942
map00670,D05500
map00670,D05589
map00670,D05999
map00670,D06238
map00670,D06239
map00670,D06503
map00670,D07472
map00670,D10596
map00670,D11352
map00670,D13147
map00670,D00323
map00670,D00391
map00670,D00584
map00670,D01064
map00670,D01223
map00670,D01244
map00670,D01309
map00670,D01784
map00670,D04197
map00670,D04964
map00670,D07974
map00670,D10803
map00670,D11447
map00670,D12388
map00670,D12528
map04981,D00142
map04981,D02115
map04981,D03828
map04981,D03942
map04981,D05500
map04981,D05589
map04981,D05999
map04981,D06238
map04981,D06239
map04981,D06503
map04981,D07472
map04981,D10596
map04981,D11352
map04981,D13147
map04981,D00323
map04981,D00391
map04981,D00584
map04981,D01064
map04981,D01223
map04981,D01244
map04981,D01309
map04981,D01784
map04981,D04197
map04981,D04964
map04981,D07974
map04981,D10803
map04981,D11447
map04981,D12388
map04981,D12528
map02020,D00236
map02020,D11738
map02020,D11739
map00053,D00123
