disease,drug,rank,score
cholangiocarcinoma,DB00861,8,0.62967885
cholangiocarcinoma,DB00573,9,0.6296071
cholangiocarcinoma,DB11079,10,0.62921643
cholangiocarcinoma,DB00814,11,0.6289935
cholangiocarcinoma,DB01399,12,0.6289717
cholangiocarcinoma,DB01283,13,0.62805426
cholangiocarcinoma,DB11323,14,0.62709194
cholangiocarcinoma,DB00580,15,0.62668
cholangiocarcinoma,DB00784,16,0.62492925
cholangiocarcinoma,DB00500,17,0.62470096
cholangiocarcinoma,DB00870,18,0.62433517
cholangiocarcinoma,DB00554,19,0.623561
cholangiocarcinoma,DB01600,20,0.6233212
coffin-sirissyndrome,DB01296,1,0.4901818
coffin-sirissyndrome,DB05260,2,0.48979643
coffin-sirissyndrome,DB11994,3,0.47548625
coffin-sirissyndrome,DB00746,4,0.47168404
coffin-sirissyndrome,DB01609,5,0.45682138
coffin-sirissyndrome,DB16650,6,0.43292046
coffin-sirissyndrome,DB08818,7,0.42928183
coffin-sirissyndrome,DB09112,8,0.41064435
coffin-sirissyndrome,DB01708,9,0.40839434
coffin-sirissyndrome,DB00608,10,0.4079836
coffin-sirissyndrome,DB06154,11,0.40757638
coffin-sirissyndrome,DB03085,12,0.40655184
coffin-sirissyndrome,DB08877,13,0.39887625
coffin-sirissyndrome,DB01070,14,0.39491385
coffin-sirissyndrome,DB00672,15,0.3928557
coffin-sirissyndrome,DB00867,16,0.39274085
coffin-sirissyndrome,DB01254,17,0.3926996
coffin-sirissyndrome,DB01382,18,0.39149418
coffin-sirissyndrome,DB00153,19,0.39080852
coffin-sirissyndrome,DB00910,20,0.39067638
gravesdisease,DB01162,1,0.7665727
gravesdisease,DB04951,2,0.7639891
gravesdisease,DB00763,3,0.67928183
gravesdisease,DB00550,4,0.67515016
gravesdisease,DB11496,5,0.67430115
gravesdisease,DB00389,6,0.6681279
gravesdisease,DB04854,7,0.66720724
gravesdisease,DB00811,8,0.6631862
gravesdisease,DB08820,9,0.6626848
gravesdisease,DB16628,10,0.6622633
gravesdisease,DB00437,11,0.66006684
gravesdisease,DB01024,12,0.6523827
gravesdisease,DB01033,13,0.651312
gravesdisease,DB00384,14,0.64823586
gravesdisease,DB11712,15,0.6456546
gravesdisease,DB00688,16,0.6444822
gravesdisease,DB09280,17,0.6416784
gravesdisease,DB00594,18,0.641273
gravesdisease,DB06705,19,0.6359409
gravesdisease,DB04209,20,0.63409716
barrettesophagus,DB00159,1,0.65355337
barrettesophagus,DB01250,2,0.6491784
barrettesophagus,DB01401,3,0.64532036
barrettesophagus,DB01399,4,0.64102936
barrettesophagus,DB11079,5,0.6408733
barrettesophagus,DB11071,6,0.639321
barrettesophagus,DB01009,7,0.63723767
barrettesophagus,DB00533,8,0.6372338
barrettesophagus,DB11323,9,0.6372334
barrettesophagus,DB00861,10,0.6364353
barrettesophagus,DB09216,11,0.636233
barrettesophagus,DB01283,12,0.6360973
barrettesophagus,DB00712,13,0.63607013
barrettesophagus,DB00500,14,0.635119
barrettesophagus,DB00814,15,0.6348225
barrettesophagus,DB00573,16,0.63435555
barrettesophagus,DB06802,17,0.63329846
barrettesophagus,DB00580,18,0.63291913
barrettesophagus,DB01600,19,0.6317666
barrettesophagus,DB00784,20,0.63165087
intervertebraldiscdisease,DB00437,1,0.45575243
intervertebraldiscdisease,DB04854,2,0.4357653
intervertebraldiscdisease,DB16628,3,0.43050787
intervertebraldiscdisease,DB01254,4,0.41228318
intervertebraldiscdisease,DB09112,5,0.40718076
intervertebraldiscdisease,DB03085,6,0.4055307
intervertebraldiscdisease,DB01611,7,0.40480888
intervertebraldiscdisease,DB00608,8,0.39848524
intervertebraldiscdisease,DB06154,9,0.3960638
intervertebraldiscdisease,DB01708,10,0.39104134
intervertebraldiscdisease,DB00746,11,0.3835239
intervertebraldiscdisease,DB01162,12,0.38053322
intervertebraldiscdisease,DB09517,13,0.37174404
intervertebraldiscdisease,DB04348,14,0.3695944
intervertebraldiscdisease,DB09026,15,0.36941597
intervertebraldiscdisease,DB00208,16,0.36682492
intervertebraldiscdisease,DB04951,17,0.3650552
intervertebraldiscdisease,DB01609,18,0.36332914
intervertebraldiscdisease,DB03619,19,0.36247373
intervertebraldiscdisease,DB00627,20,0.35800672
hypospadias,DB01108,1,0.42322904
hypospadias,DB13953,2,0.41199917
hypospadias,DB04938,3,0.404537
hypospadias,DB00783,4,0.40267855
hypospadias,DB00648,5,0.39821628
hypospadias,DB12235,6,0.3979612
hypospadias,DB00539,7,0.39754936
hypospadias,DB13952,8,0.3972612
hypospadias,DB04575,9,0.39710698
hypospadias,DB04573,10,0.3968699
hypospadias,DB00977,11,0.39651957
hypospadias,DB00675,12,0.39596426
hypospadias,DB06202,13,0.3944029
hypospadias,DB01357,14,0.39340532
hypospadias,DB13955,15,0.39230466
hypospadias,DB13954,16,0.39230296
hypospadias,DB00947,17,0.39226916
hypospadias,DB13956,18,0.39151713
hypospadias,DB13981,19,0.3898291
hypospadias,DB00255,20,0.38952628
idiopathicpulmonaryfibrosis,DB04938,1,0.8269762
idiopathicpulmonaryfibrosis,DB00977,2,0.8232758
idiopathicpulmonaryfibrosis,DB04575,3,0.8226763
idiopathicpulmonaryfibrosis,DB01357,4,0.82240796
idiopathicpulmonaryfibrosis,DB12235,5,0.82230425
idiopathicpulmonaryfibrosis,DB00539,6,0.8222793
idiopathicpulmonaryfibrosis,DB04573,7,0.8214441
idiopathicpulmonaryfibrosis,DB00648,8,0.82065743
idiopathicpulmonaryfibrosis,DB13981,9,0.8200375
idiopathicpulmonaryfibrosis,DB00655,10,0.817911
idiopathicpulmonaryfibrosis,DB00947,11,0.8177904
idiopathicpulmonaryfibrosis,DB00890,12,0.8156761
idiopathicpulmonaryfibrosis,DB04574,13,0.8128228
idiopathicpulmonaryfibrosis,DB00882,14,0.81199324
idiopathicpulmonaryfibrosis,DB09070,15,0.8098664
idiopathicpulmonaryfibrosis,DB06401,16,0.8076685
idiopathicpulmonaryfibrosis,DB06374,17,0.80608094
idiopathicpulmonaryfibrosis,DB01185,18,0.797305
idiopathicpulmonaryfibrosis,DB13953,19,0.71109617
idiopathicpulmonaryfibrosis,DB00783,20,0.7012236
cryptorchidism,DB01231,1,0.64393723
cryptorchidism,DB12278,2,0.64192116
cryptorchidism,DB00383,3,0.6413876
cryptorchidism,DB09089,4,0.6407174
cryptorchidism,DB00387,5,0.6406952
cryptorchidism,DB04843,6,0.640656
cryptorchidism,DB06787,7,0.6403028
cryptorchidism,DB01062,8,0.6401627
cryptorchidism,DB00496,9,0.63975024
cryptorchidism,DB01625,10,0.6393516
cryptorchidism,DB01409,11,0.63925034
cryptorchidism,DB01036,12,0.6391545
cryptorchidism,DB13720,13,0.63902056
cryptorchidism,DB11855,14,0.63893425
cryptorchidism,DB00747,15,0.638249
cryptorchidism,DB00340,16,0.63748264
cryptorchidism,DB09300,17,0.63697904
cryptorchidism,DB06709,18,0.63625383
cryptorchidism,DB06702,19,0.635983
cryptorchidism,DB00986,20,0.63589615
vitiligo,DB13063,1,0.5544838
vitiligo,DB00609,2,0.5233631
vitiligo,DB04339,3,0.52101755
vitiligo,DB12513,4,0.49561918
vitiligo,DB01041,5,0.48338825
vitiligo,DB00627,6,0.45875528
vitiligo,DB13751,7,0.45785236
vitiligo,DB08818,8,0.45322096
vitiligo,DB05187,9,0.44790062
vitiligo,DB04931,10,0.43736666
vitiligo,DB08949,11,0.43679994
vitiligo,DB01393,12,0.43294764
vitiligo,DB03619,13,0.4167958
vitiligo,DB16650,14,0.4156212
vitiligo,DB00197,15,0.40891576
vitiligo,DB01132,16,0.40039343
vitiligo,DB00966,17,0.3847918
vitiligo,DB00445,18,0.3836936
vitiligo,DB11611,19,0.3810258
vitiligo,DB00412,20,0.37442255
osteosarcoma,DB00210,1,0.79096663
osteosarcoma,DB09065,2,0.7903246
osteosarcoma,DB12887,3,0.7821475
osteosarcoma,DB01169,4,0.7801324
osteosarcoma,DB01380,5,0.7799032
osteosarcoma,DB02546,6,0.779299
osteosarcoma,DB00995,7,0.77730453
osteosarcoma,DB06786,8,0.77729654
osteosarcoma,DB00846,9,0.7772717
osteosarcoma,DB00288,10,0.77634
osteosarcoma,DB06813,11,0.7762387
osteosarcoma,DB00663,12,0.77619076
osteosarcoma,DB00596,13,0.77605855
osteosarcoma,DB00547,14,0.7749014
osteosarcoma,DB01047,15,0.774876
osteosarcoma,DB01260,16,0.7746631
osteosarcoma,DB00253,17,0.7734815
osteosarcoma,DB00317,18,0.77340066
osteosarcoma,DB01131,19,0.7730423
osteosarcoma,DB00440,20,0.7723931
hirschsprungdisease,DB05294,1,0.64160204
hirschsprungdisease,DB15822,2,0.61432236
hirschsprungdisease,DB11828,3,0.61219597
hirschsprungdisease,DB01259,4,0.61058855
hirschsprungdisease,DB11963,5,0.6085596
hirschsprungdisease,DB08916,6,0.60797364
hirschsprungdisease,DB15685,7,0.60722303
hirschsprungdisease,DB15059,8,0.5984695
hirschsprungdisease,DB00559,9,0.5971757
hirschsprungdisease,DB15568,10,0.59429765
hirschsprungdisease,DB00398,11,0.58268905
hirschsprungdisease,DB00317,12,0.5794378
hirschsprungdisease,DB15569,13,0.57347184
hirschsprungdisease,DB16390,14,0.56172824
hirschsprungdisease,DB09330,15,0.56151307
hirschsprungdisease,DB16216,16,0.5607196
hirschsprungdisease,DB09078,17,0.5516126
hirschsprungdisease,DB11652,18,0.54367757
hirschsprungdisease,DB08881,19,0.53490996
hirschsprungdisease,DB12887,20,0.5299188
myopia,DB08883,1,0.62855124
myopia,DB01254,2,0.5562918
myopia,DB00608,3,0.5160105
myopia,DB09517,4,0.49590188
myopia,DB06154,5,0.48529541
myopia,DB09112,6,0.48444557
myopia,DB03085,7,0.47744083
myopia,DB01708,8,0.47526556
myopia,DB00548,9,0.4634734
myopia,DB08828,10,0.45578727
myopia,DB00855,11,0.4515144
myopia,DB09143,12,0.4471953
myopia,DB08820,13,0.44453815
myopia,DB11712,14,0.44184574
myopia,DB00384,15,0.4401855
myopia,DB15444,16,0.43970692
myopia,DB11978,17,0.4392492
myopia,DB13995,18,0.4383346
myopia,DB00594,19,0.43818393
myopia,DB00396,20,0.43686593
marshallsyndrome,DB01254,1,0.5655868
marshallsyndrome,DB09112,2,0.543501
marshallsyndrome,DB00608,3,0.5411338
marshallsyndrome,DB03085,4,0.54083693
marshallsyndrome,DB06154,5,0.538585
marshallsyndrome,DB01708,6,0.5337873
marshallsyndrome,DB01162,7,0.50390935
marshallsyndrome,DB00746,8,0.49663132
marshallsyndrome,DB00437,9,0.4953366
marshallsyndrome,DB04951,10,0.49523816
marshallsyndrome,DB04854,11,0.47866523
marshallsyndrome,DB01609,12,0.47796485
marshallsyndrome,DB16628,13,0.4698394
marshallsyndrome,DB01611,14,0.45261383
marshallsyndrome,DB09517,15,0.44088197
marshallsyndrome,DB08820,16,0.42961025
marshallsyndrome,DB08877,17,0.42644048
marshallsyndrome,DB11712,18,0.41606665
marshallsyndrome,DB00811,19,0.41232452
marshallsyndrome,DB09280,20,0.41160685
cardiofaciocutaneoussyndrome,DB15569,1,0.60817623
cardiofaciocutaneoussyndrome,DB15568,2,0.5993525
cardiofaciocutaneoussyndrome,DB08881,3,0.589481
cardiofaciocutaneoussyndrome,DB11718,4,0.5871783
cardiofaciocutaneoussyndrome,DB11689,5,0.5039184
cardiofaciocutaneoussyndrome,DB06616,6,0.50215197
cardiofaciocutaneoussyndrome,DB05239,7,0.501897
cardiofaciocutaneoussyndrome,DB11652,8,0.5013137
cardiofaciocutaneoussyndrome,DB15266,9,0.49958
cardiofaciocutaneoussyndrome,DB08912,10,0.4966268
cardiofaciocutaneoussyndrome,DB11967,11,0.49468753
cardiofaciocutaneoussyndrome,DB08911,12,0.4915493
cardiofaciocutaneoussyndrome,DB00398,13,0.46803993
cardiofaciocutaneoussyndrome,DB08896,14,0.4649006
cardiofaciocutaneoussyndrome,DB11828,15,0.43591198
cardiofaciocutaneoussyndrome,DB08916,16,0.43362617
cardiofaciocutaneoussyndrome,DB11963,17,0.43215802
cardiofaciocutaneoussyndrome,DB01259,18,0.4307796
cardiofaciocutaneoussyndrome,DB14840,19,0.4286943
cardiofaciocutaneoussyndrome,DB09079,20,0.41037452
costellosyndrome,DB15569,1,0.6149538
costellosyndrome,DB15568,2,0.61235356
costellosyndrome,DB08881,3,0.5852184
costellosyndrome,DB11718,4,0.5701362
costellosyndrome,DB11689,5,0.50623035
costellosyndrome,DB06616,6,0.5043074
costellosyndrome,DB11652,7,0.5042323
costellosyndrome,DB05239,8,0.5019109
costellosyndrome,DB11967,9,0.49746555
costellosyndrome,DB08911,10,0.49363875
costellosyndrome,DB00398,11,0.48633528
costellosyndrome,DB15266,12,0.4780891
costellosyndrome,DB08912,13,0.47494835
costellosyndrome,DB11828,14,0.4729609
costellosyndrome,DB08916,15,0.4687863
costellosyndrome,DB11963,16,0.46754062
costellosyndrome,DB01259,17,0.46652877
costellosyndrome,DB08896,18,0.45799932
costellosyndrome,DB14840,19,0.43791032
costellosyndrome,DB12483,20,0.42335755
noonansyndrome,DB08881,1,0.60332286
noonansyndrome,DB15569,2,0.59139633
noonansyndrome,DB11718,3,0.5898762
noonansyndrome,DB15568,4,0.5884798
noonansyndrome,DB11689,5,0.5458374
noonansyndrome,DB06616,6,0.5435345
noonansyndrome,DB05239,7,0.5408378
noonansyndrome,DB11967,8,0.5354713
noonansyndrome,DB08911,9,0.532975
noonansyndrome,DB11652,10,0.52129525
noonansyndrome,DB08912,11,0.4904745
noonansyndrome,DB15266,12,0.48923105
noonansyndrome,DB14840,13,0.47356856
noonansyndrome,DB11828,14,0.4685375
noonansyndrome,DB00398,15,0.46596813
noonansyndrome,DB08916,16,0.46491477
noonansyndrome,DB01259,17,0.46182764
noonansyndrome,DB11963,18,0.46172985
noonansyndrome,DB08896,19,0.45118323
noonansyndrome,DB12483,20,0.43913874
fanconianemia,DB01041,1,0.6557959
fanconianemia,DB08910,2,0.5188737
fanconianemia,DB08814,3,0.4801985
fanconianemia,DB13063,4,0.45124185
fanconianemia,DB00445,5,0.43091908
fanconianemia,DB01421,6,0.37237358
fanconianemia,DB04845,7,0.36479363
fanconianemia,DB09257,8,0.3474595
fanconianemia,DB00480,9,0.3461778
fanconianemia,DB11679,10,0.33723605
fanconianemia,DB00944,11,0.33463687
fanconianemia,DB01698,12,0.3244729
fanconianemia,DB01011,13,0.32183522
fanconianemia,DB00693,14,0.3146611
fanconianemia,DB12236,15,0.3121434
fanconianemia,DB11823,16,0.31178916
fanconianemia,DB00131,17,0.31143808
fanconianemia,DB00521,18,0.30563176
fanconianemia,DB00806,19,0.3051017
fanconianemia,DB00720,20,0.29628995
atypicalhemolyticuremicsyndrome,DB16200,1,0.44715485
atypicalhemolyticuremicsyndrome,DB15059,2,0.41575944
atypicalhemolyticuremicsyndrome,DB00559,3,0.40954044
atypicalhemolyticuremicsyndrome,DB12010,4,0.40938306
atypicalhemolyticuremicsyndrome,DB01254,5,0.390335
atypicalhemolyticuremicsyndrome,DB15413,6,0.38960472
atypicalhemolyticuremicsyndrome,DB08877,7,0.38864776
atypicalhemolyticuremicsyndrome,DB15822,8,0.38659403
atypicalhemolyticuremicsyndrome,DB11817,9,0.37860352
atypicalhemolyticuremicsyndrome,DB00203,10,0.37680727
atypicalhemolyticuremicsyndrome,DB05294,11,0.37516868
atypicalhemolyticuremicsyndrome,DB11800,12,0.3749863
atypicalhemolyticuremicsyndrome,DB00838,13,0.37486094
atypicalhemolyticuremicsyndrome,DB15685,14,0.37271503
atypicalhemolyticuremicsyndrome,DB15091,15,0.37038916
atypicalhemolyticuremicsyndrome,DB11763,16,0.36992607
atypicalhemolyticuremicsyndrome,DB08895,17,0.3679827
atypicalhemolyticuremicsyndrome,DB09095,18,0.3659941
atypicalhemolyticuremicsyndrome,DB14973,19,0.36427975
atypicalhemolyticuremicsyndrome,DB12887,20,0.36112136
lupusnephritis,DB00203,1,0.48537508
lupusnephritis,DB15091,2,0.48304617
lupusnephritis,DB11817,3,0.48134482
lupusnephritis,DB14973,4,0.47363707
lupusnephritis,DB11763,5,0.4730404
lupusnephritis,DB08895,6,0.47260377
lupusnephritis,DB14845,7,0.46913755
lupusnephritis,DB08877,8,0.38304818
lupusnephritis,DB15822,9,0.3545196
lupusnephritis,DB15059,10,0.3503586
lupusnephritis,DB00559,11,0.34991533
lupusnephritis,DB15685,12,0.3469807
lupusnephritis,DB12010,13,0.34421438
lupusnephritis,DB08875,14,0.32501835
lupusnephritis,DB00838,15,0.29780567
lupusnephritis,DB14019,16,0.2958181
lupusnephritis,DB04846,17,0.2884124
lupusnephritis,DB00862,18,0.28839517
lupusnephritis,DB00457,19,0.28788447
lupusnephritis,DB01394,20,0.28621924
frontotemporallobardegeneration,DB00652,1,0.700694
frontotemporallobardegeneration,DB11186,2,0.6876729
frontotemporallobardegeneration,DB00574,3,0.62472796
frontotemporallobardegeneration,DB04951,4,0.59005153
frontotemporallobardegeneration,DB01162,5,0.575305
frontotemporallobardegeneration,DB00403,6,0.5737753
frontotemporallobardegeneration,DB00183,7,0.5735279
frontotemporallobardegeneration,DB00193,8,0.56904507
frontotemporallobardegeneration,DB00726,9,0.5678138
frontotemporallobardegeneration,DB00176,10,0.5674125
frontotemporallobardegeneration,DB00998,11,0.5671004
frontotemporallobardegeneration,DB09068,12,0.5670283
frontotemporallobardegeneration,DB04832,13,0.5670228
frontotemporallobardegeneration,DB01191,14,0.56694156
frontotemporallobardegeneration,DB00543,15,0.5668608
frontotemporallobardegeneration,DB00952,16,0.5668478
frontotemporallobardegeneration,DB00216,17,0.5667739
frontotemporallobardegeneration,DB00215,18,0.5666064
frontotemporallobardegeneration,DB01175,19,0.5666064
frontotemporallobardegeneration,DB00458,20,0.56652176
hypoplasticleftheartsyndrome,DB01041,1,0.5519802
hypoplasticleftheartsyndrome,DB00648,2,0.49276012
hypoplasticleftheartsyndrome,DB04938,3,0.49167162
hypoplasticleftheartsyndrome,DB12235,4,0.48540854
hypoplasticleftheartsyndrome,DB08910,5,0.4850488
hypoplasticleftheartsyndrome,DB00539,6,0.48456872
hypoplasticleftheartsyndrome,DB04573,7,0.48365065
hypoplasticleftheartsyndrome,DB13981,8,0.48270988
hypoplasticleftheartsyndrome,DB00947,9,0.4807037
hypoplasticleftheartsyndrome,DB00977,10,0.4792948
hypoplasticleftheartsyndrome,DB04575,11,0.47869593
hypoplasticleftheartsyndrome,DB00890,12,0.47860354
hypoplasticleftheartsyndrome,DB00655,13,0.47617382
hypoplasticleftheartsyndrome,DB01357,14,0.47614288
hypoplasticleftheartsyndrome,DB00459,15,0.4736348
hypoplasticleftheartsyndrome,DB00882,16,0.47106165
hypoplasticleftheartsyndrome,DB04574,17,0.46869984
hypoplasticleftheartsyndrome,DB09070,18,0.46490204
hypoplasticleftheartsyndrome,DB06374,19,0.46291462
hypoplasticleftheartsyndrome,DB06401,20,0.46266273
obsessive-compulsivedisorder,DB11273,1,0.8402485
obsessive-compulsivedisorder,DB00696,2,0.8392597
obsessive-compulsivedisorder,DB00321,3,0.8377259
obsessive-compulsivedisorder,DB00540,4,0.8371003
obsessive-compulsivedisorder,DB01242,5,0.83695316
obsessive-compulsivedisorder,DB13520,6,0.83495057
obsessive-compulsivedisorder,DB01151,7,0.831094
obsessive-compulsivedisorder,DB00656,8,0.83059394
obsessive-compulsivedisorder,DB01149,9,0.82969433
obsessive-compulsivedisorder,DB00246,10,0.8165263
obsessive-compulsivedisorder,DB06077,11,0.80804443
obsessive-compulsivedisorder,DB00998,12,0.80602825
obsessive-compulsivedisorder,DB00216,13,0.80414647
obsessive-compulsivedisorder,DB00458,14,0.8029754
obsessive-compulsivedisorder,DB00952,15,0.8019049
obsessive-compulsivedisorder,DB00918,16,0.8017231
obsessive-compulsivedisorder,DB00953,17,0.80038315
obsessive-compulsivedisorder,DB00543,18,0.8001712
obsessive-compulsivedisorder,DB00315,19,0.79959846
obsessive-compulsivedisorder,DB00669,20,0.7995914
commonvariableimmunodeficiency,DB01041,1,0.63170683
commonvariableimmunodeficiency,DB08910,2,0.5394265
commonvariableimmunodeficiency,DB08814,3,0.526899
commonvariableimmunodeficiency,DB13063,4,0.5079884
commonvariableimmunodeficiency,DB00445,5,0.34313792
commonvariableimmunodeficiency,DB00480,6,0.3397749
commonvariableimmunodeficiency,DB00197,7,0.32240576
commonvariableimmunodeficiency,DB01132,8,0.32009655
commonvariableimmunodeficiency,DB00627,9,0.30245912
commonvariableimmunodeficiency,DB01421,10,0.29350305
commonvariableimmunodeficiency,DB04845,11,0.2915591
commonvariableimmunodeficiency,DB09257,12,0.2895689
commonvariableimmunodeficiency,DB00412,13,0.28065407
commonvariableimmunodeficiency,DB08949,14,0.27814233
commonvariableimmunodeficiency,DB01011,15,0.27246594
commonvariableimmunodeficiency,DB01698,16,0.2671635
commonvariableimmunodeficiency,DB00720,17,0.26600525
commonvariableimmunodeficiency,DB00944,18,0.26532727
commonvariableimmunodeficiency,DB00693,19,0.26479048
commonvariableimmunodeficiency,DB00126,20,0.26449335
angelmansyndrome,DB01558,1,0.81677806
angelmansyndrome,DB01068,2,0.8164157
angelmansyndrome,DB00818,3,0.8155142
angelmansyndrome,DB00189,4,0.8154813
angelmansyndrome,DB00753,5,0.81536496
angelmansyndrome,DB01595,6,0.81534946
angelmansyndrome,DB00897,7,0.8150364
angelmansyndrome,DB01589,8,0.81496835
angelmansyndrome,DB00241,9,0.8148923
angelmansyndrome,DB01028,10,0.8148697
angelmansyndrome,DB00683,11,0.8144162
angelmansyndrome,DB00306,12,0.813892
angelmansyndrome,DB01544,13,0.8138553
angelmansyndrome,DB00842,14,0.8134632
angelmansyndrome,DB00186,15,0.813395
angelmansyndrome,DB01559,16,0.8133795
angelmansyndrome,DB09118,17,0.81322217
angelmansyndrome,DB00404,18,0.81285745
angelmansyndrome,DB01215,19,0.8127637
angelmansyndrome,DB00628,20,0.8126654
glaucoma,DB13953,1,0.38627893
glaucoma,DB00783,2,0.3787682
glaucoma,DB13952,3,0.37862384
glaucoma,DB00481,4,0.375543
glaucoma,DB13954,5,0.37427568
glaucoma,DB13955,6,0.37384227
glaucoma,DB06202,7,0.37352085
glaucoma,DB00255,8,0.3732053
glaucoma,DB00675,9,0.3729173
glaucoma,DB13956,10,0.37156123
glaucoma,DB06249,11,0.36916667
glaucoma,DB04813,12,0.35830423
glaucoma,DB15569,13,0.35795945
glaucoma,DB11679,14,0.35026294
glaucoma,DB15568,15,0.34609103
glaucoma,DB00445,16,0.3429026
glaucoma,DB04938,17,0.33734068
glaucoma,DB00648,18,0.33140793
glaucoma,DB00539,19,0.32980424
glaucoma,DB04575,20,0.3284213
shortrib-polydactylysyndrome,DB11652,1,0.33747074
shortrib-polydactylysyndrome,DB11828,2,0.3361563
shortrib-polydactylysyndrome,DB09079,3,0.33499554
shortrib-polydactylysyndrome,DB01259,4,0.33393067
shortrib-polydactylysyndrome,DB12147,5,0.33207417
shortrib-polydactylysyndrome,DB11886,6,0.32802188
shortrib-polydactylysyndrome,DB15149,7,0.3276076
shortrib-polydactylysyndrome,DB08916,8,0.3264946
shortrib-polydactylysyndrome,DB11963,9,0.32571092
shortrib-polydactylysyndrome,DB15102,10,0.3238404
shortrib-polydactylysyndrome,DB09078,11,0.31525317
shortrib-polydactylysyndrome,DB12483,12,0.28363064
shortrib-polydactylysyndrome,DB00317,13,0.27923006
shortrib-polydactylysyndrome,DB16216,14,0.2770948
shortrib-polydactylysyndrome,DB09330,15,0.27655286
shortrib-polydactylysyndrome,DB12015,16,0.27558392
shortrib-polydactylysyndrome,DB16390,17,0.27557293
shortrib-polydactylysyndrome,DB06637,18,0.26996887
shortrib-polydactylysyndrome,DB00530,19,0.25122398
shortrib-polydactylysyndrome,DB11718,20,0.24341853
myastheniagravis,DB16200,1,0.62188715
myastheniagravis,DB06756,2,0.58398926
myastheniagravis,DB01280,3,0.58131224
myastheniagravis,DB00631,4,0.5770885
myastheniagravis,DB01073,5,0.57617843
myastheniagravis,DB01005,6,0.57595074
myastheniagravis,DB00441,7,0.5749676
myastheniagravis,DB06705,8,0.5735904
myastheniagravis,DB03585,9,0.5723069
myastheniagravis,DB04711,10,0.5671674
myastheniagravis,DB00743,11,0.5670761
myastheniagravis,DB13967,12,0.566019
myastheniagravis,DB00569,13,0.5448803
myastheniagravis,DB00384,14,0.5324631
myastheniagravis,DB11712,15,0.5313188
myastheniagravis,DB08820,16,0.53025496
myastheniagravis,DB00594,17,0.5284332
myastheniagravis,DB09280,18,0.5246043
myastheniagravis,DB15444,19,0.52443415
myastheniagravis,DB11496,20,0.49139547
cysticfibrosis,DB08820,1,0.7401147
cysticfibrosis,DB11712,2,0.72912055
cysticfibrosis,DB00384,3,0.7267661
cysticfibrosis,DB00594,4,0.72595847
cysticfibrosis,DB09280,5,0.7247591
cysticfibrosis,DB15444,6,0.72037244
cysticfibrosis,DB01162,7,0.7113391
cysticfibrosis,DB04951,8,0.70236605
cysticfibrosis,DB06705,9,0.6858633
cysticfibrosis,DB03585,10,0.68063617
cysticfibrosis,DB00743,11,0.6800152
cysticfibrosis,DB13967,12,0.67871773
cysticfibrosis,DB04711,13,0.6773162
cysticfibrosis,DB00811,14,0.67262226
cysticfibrosis,DB01033,15,0.6656674
cysticfibrosis,DB01024,16,0.6635053
cysticfibrosis,DB00688,17,0.66091
cysticfibrosis,DB00763,18,0.6410769
cysticfibrosis,DB04209,19,0.6358425
cysticfibrosis,DB00550,20,0.6356933
narcolepsy,DB00583,1,0.6003841
narcolepsy,DB11951,2,0.5998199
narcolepsy,DB15031,3,0.59519035
narcolepsy,DB01074,4,0.5942768
narcolepsy,DB09034,5,0.5941597
narcolepsy,DB00747,6,0.5379052
narcolepsy,DB04843,7,0.5377418
narcolepsy,DB01036,8,0.53763086
narcolepsy,DB01625,9,0.5373422
narcolepsy,DB00572,10,0.53705513
narcolepsy,DB00383,11,0.5367644
narcolepsy,DB09300,12,0.5366041
narcolepsy,DB06787,13,0.5365504
narcolepsy,DB01231,14,0.5362944
narcolepsy,DB00332,15,0.5361079
narcolepsy,DB00496,16,0.53608596
narcolepsy,DB01062,17,0.53607833
narcolepsy,DB06702,18,0.5356137
narcolepsy,DB12278,19,0.5355279
narcolepsy,DB00387,20,0.535409
syndactyly,DB00746,1,0.4570178
syndactyly,DB01609,2,0.43409416
syndactyly,DB08877,3,0.42172492
syndactyly,DB16650,4,0.4152544
syndactyly,DB08818,5,0.3905192
syndactyly,DB13873,6,0.3901788
syndactyly,DB01039,7,0.38172042
syndactyly,DB09064,8,0.37972298
syndactyly,DB01070,9,0.3635128
syndactyly,DB00449,10,0.35874817
syndactyly,DB01382,11,0.35847813
syndactyly,DB00153,12,0.3584242
syndactyly,DB00910,13,0.3581499
syndactyly,DB00867,14,0.3579958
syndactyly,DB11148,15,0.35768136
syndactyly,DB02300,16,0.35723478
syndactyly,DB00672,17,0.3570261
syndactyly,DB01251,18,0.3557335
syndactyly,DB00839,19,0.35545176
syndactyly,DB01296,20,0.35418236
rhabdomyosarcoma,DB08818,1,0.61070526
rhabdomyosarcoma,DB11611,2,0.56337446
rhabdomyosarcoma,DB01083,3,0.5448543
rhabdomyosarcoma,DB06155,4,0.53535986
rhabdomyosarcoma,DB09061,5,0.52841467
rhabdomyosarcoma,DB00470,6,0.5255722
rhabdomyosarcoma,DB00486,7,0.52122384
rhabdomyosarcoma,DB16650,8,0.4570753
rhabdomyosarcoma,DB01296,9,0.44729212
rhabdomyosarcoma,DB11994,10,0.44125378
rhabdomyosarcoma,DB00449,11,0.43501636
rhabdomyosarcoma,DB00989,12,0.4334746
rhabdomyosarcoma,DB05260,13,0.4326982
rhabdomyosarcoma,DB00545,14,0.42929846
