FGF2,FGFR2
FGF2,ERBB2
FGF2,PTGS2
FGF2,PDGFRA
FGF2,KRAS
FGF2,MET
FGF2,PIK3CA
FGF2,FGFR1
FGF2,CD44
FGF2,TNF
FGF2,IL1B
FGF2,ICAM1
FGF2,GAPDH
FGF2,TGFB1
FGF2,NTRK2
FGF2,STAT3
FGF2,EPHA2
FGF2,FGFR3
STAT3,TYK2
STAT3,ABCA1
STAT3,EGFR
STAT3,AKT1
STAT3,MMP9
STAT3,BRAF
STAT3,CXCL8
STAT3,NFKB2
STAT3,CCND1
STAT3,PPARG
STAT3,FGF2
STAT3,NTRK1
STAT3,KRAS
STAT3,PDGFRA
STAT3,HMOX1
STAT3,JAK1
STAT3,RET
STAT3,TLR4
STAT3,FGFR2
STAT3,PTGS2
STAT3,ERBB2
STAT3,PIK3CA
STAT3,PIK3CG
STAT3,IL1B
STAT3,TNF
STAT3,CD44
STAT3,RAF1
STAT3,MCL1
STAT3,ESR1
STAT3,MET
STAT3,GAPDH
STAT3,CASP3
STAT3,NFKB1
STAT3,ICAM1
STAT3,BCL2
STAT3,CDK6
STAT3,PGR
STAT3,ALK
STAT3,NOS2
STAT3,TGFB1
STAT3,DNMT1
STAT3,PTAFR
STAT3,RELA
STAT3,EZH2
STAT3,JUN
STAT3,NFE2L2
ICAM1,NFKB2
ICAM1,ALB
ICAM1,CXCL8
ICAM1,EGFR
ICAM1,AKT1
ICAM1,TLR9
ICAM1,MMP9
ICAM1,KRAS
ICAM1,REL
ICAM1,PTGS2
ICAM1,TLR4
ICAM1,FGF2
ICAM1,NFKB1
ICAM1,NOS3
ICAM1,TNF
ICAM1,IL1B
ICAM1,CD44
ICAM1,STAT3
ICAM1,RELA
ICAM1,PROCR
ICAM1,TGFB1
BST1,PNP
CDK6,CDK4
CDK6,BCL2
CDK6,PCNA
CDK6,STAT3
CDK6,JUN
CDK6,CCND1
ERBB2,CCND1
ERBB2,ABCG2
ERBB2,INSR
ERBB2,EGFR
ERBB2,PTGS2
ERBB2,FGFR2
ERBB2,JAK1
ERBB2,RET
ERBB2,PDGFRA
ERBB2,KRAS
ERBB2,NTRK3
ERBB2,NTRK1
ERBB2,FGF2
ERBB2,PARP1
ERBB2,BCL2
ERBB2,NFKB1
ERBB2,GAPDH
ERBB2,ESR2
ERBB2,MET
ERBB2,ESR1
ERBB2,MCL1
ERBB2,CYP19A1
ERBB2,CD44
ERBB2,PIK3CA
ERBB2,FGFR1
ERBB2,PIK3CG
ERBB2,STAT3
ERBB2,JUN
ERBB2,EPHA2
ERBB2,FGFR3
ERBB2,MST1R
ERBB2,ALK
ERBB2,PGR
ERBB2,NTRK2
SLC6A3,DRD1
SLC6A3,MAOA
SLC6A3,HTR2A
SLC6A3,DDC
SLC6A3,TH
SLC6A3,DRD2
SLC6A3,DBH
SLC6A3,SLC18A2
SLC6A3,MAOB
SLC6A3,COMT
REN,NOS3
REN,TNF
REN,TGFB1
REN,SCNN1A
REN,SCNN1G
REN,ALB
REN,AGTR1
REN,ACE2
REN,SCNN1B
REN,ACE
FTH1,ALB
FTH1,TFRC
EGFR,AKT1
EGFR,TNFSF11
EGFR,TFRC
EGFR,MMP9
EGFR,INSR
EGFR,CXCL8
EGFR,TYK2
EGFR,IDH2
EGFR,CCND1
EGFR,ALB
EGFR,PPARG
EGFR,FGF2
EGFR,PDGFRA
EGFR,TLR4
EGFR,RET
EGFR,JAK1
EGFR,PTGS2
EGFR,ERBB2
EGFR,KRAS
EGFR,IDH1
EGFR,ESR1
EGFR,MET
EGFR,ESR2
EGFR,PIK3CG
EGFR,PIK3CA
EGFR,RAF1
EGFR,CD44
EGFR,IL1B
EGFR,TNF
EGFR,MAPT
EGFR,HDAC6
EGFR,BCL2
EGFR,ICAM1
EGFR,PARP1
EGFR,GAPDH
EGFR,CASP3
