PathwayID,PathwayName,NumGenes,GeneSymbols,GeneIndices
hsa05161,Hepatitis B - Homo sapiens (human),51,AKT1;BCL2;BRAF;CASP3;CCNE1;CREB3L1;CXCL8;DDX3X;FAS;FASLG;HRAS;IFIH1;IFNA2;IFNB1;IL6;IRAK1;JAK1;JUN;KRAS;MAP2K1;MAP2K2;MAP3K7;MMP9;MYC;NFKB1;NFKBIA;NRAS;PCNA;PIK3R1;RAF1;RB1;RELA;RIGI;SMAD3;SMAD4;SOS1;STAT1;STAT3;STAT4;TAB2;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TIRAP;TLR4;TNF;TP53;TRAF6;TYK2,37;106;122;145;162;260;289;309;388;389;529;550;553;554;592;602;613;616;638;687;688;690;718;740;768;770;795;828;863;937;941;948;955;1050;1051;1068;1079;1080;1081;1089;1116;1117;1118;1119;1120;1132;1134;1141;1162;1170;1192
hsa04014,Ras signaling pathway - Homo sapiens (human),50,AKT1;BCL2L1;BDNF;EGFR;EPHA2;ETS1;FASLG;FGF2;FGF8;FGFR1;FGFR2;FGFR3;GNB3;HGF;HRAS;IGF1;IGF1R;IGF2;INS;INSR;KRAS;MAP2K1;MAP2K2;MET;MRAS;NF1;NFKB1;NGF;NRAS;NTRK1;NTRK2;PAK4;PDGFD;PDGFRA;PIK3R1;PLA2G2A;PRKACA;PRKACB;PTPN11;RAF1;RASGRF1;RASSF1;RASSF5;REL;RELA;SHOC2;SOS1;TGFA;VEGFA;VEGFD,37;107;110;348;357;370;389;404;405;406;407;408;455;503;529;562;563;564;597;599;638;687;688;701;723;765;768;771;795;799;800;815;836;837;863;868;897;898;925;937;938;939;940;947;948;1013;1068;1115;1217;1218
hsa05152,Tuberculosis - Homo sapiens (human),49,AKT1;BCL2;C3;CASP3;CD14;CD209;CORO1A;CR1;FCGR2A;FCGR2B;FCGR3A;FCGR3B;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA9;IFNA2;IFNB1;IFNG;IL10;IL10RA;IL12A;IL12B;IL18;IL1A;IL1B;IL23A;IL6;IRAK1;JAK1;NFKB1;NOD2;NOS2;RAF1;RELA;STAT1;TGFB1;TGFB2;TGFB3;TIRAP;TLR4;TLR9;TNF;TNFRSF1A;TRAF6;VDR,37;106;133;145;169;172;252;256;396;397;398;399;513;514;515;516;517;518;536;553;554;555;570;571;572;573;577;578;579;584;592;602;613;768;777;780;937;948;1079;1116;1117;1118;1132;1134;1135;1141;1148;1170;1216
hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human),49,ADCYAP1R1;AGT;AGTR1;C3;CALCR;CCKBR;CHRM3;CNR1;CNR2;DRD1;DRD2;EDN1;EDN3;EDNRB;F2;FPR2;GABRB3;GHRL;GNRH1;GRIA4;GRM4;HCRTR2;HRH1;HTR1D;HTR2A;INSL3;LEP;LHB;LPAR6;MC1R;NPSR1;NPY;NPY1R;OXT;P2RX7;P2RY11;PENK;POMC;PRL;PRLR;PTAFR;PTH;PYY;SST;TAC1;TRH;TRPV1;TSHB;TSHR,23;28;29;133;136;153;213;232;233;331;332;343;344;345;373;419;428;447;456;468;469;495;530;538;539;598;652;653;665;694;789;790;791;807;808;809;842;883;901;902;915;922;931;1077;1090;1172;1178;1182;1183
hsa05164,Influenza A - Homo sapiens (human),49,ACTG1;ADAR;AKT1;CASP1;CASP3;CCL2;CCL5;CDK6;CXCL10;CXCL8;EIF2S1;FAS;FASLG;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;ICAM1;IFIH1;IFNA2;IFNB1;IFNG;IL12A;IL12B;IL18;IL1A;IL1B;IL33;IL6;JAK1;MAP2K1;MAP2K2;MX1;NFKB1;NFKBIA;NLRP3;PIK3R1;RAF1;RELA;RIGI;SOCS3;STAT1;TLR4;TNF;TNFRSF1A;TNFSF10;TYK2,15;19;37;144;145;155;159;189;285;289;351;388;389;513;514;515;516;517;518;542;550;553;554;555;572;573;577;578;579;587;592;613;687;688;737;768;770;774;863;937;948;955;1064;1079;1134;1141;1148;1151;1192
hsa04024,cAMP signaling pathway - Homo sapiens (human),48,ADCY2;ADCY5;ADCYAP1R1;AKT1;ATP1B2;ATP2B1;BDNF;BRAF;CFTR;CNGA1;CNGB1;CREB3L1;DRD1;DRD2;EDN1;EDN3;GHRL;GLI3;GNAS;GRIA4;HCAR2;HCN4;HHIP;HTR1D;JUN;LHB;MAP2K1;MAP2K2;NFKB1;NFKBIA;NPY;NPY1R;OXT;PDE4B;PDE4D;PIK3R1;POMC;PPARA;PRKACA;PRKACB;PTCH1;RAF1;RELA;SLC9A1;SST;TSHB;TSHR;VAV1,21;22;23;37;91;92;110;122;206;230;231;260;331;332;343;344;447;452;454;468;492;493;505;538;616;653;687;688;768;770;790;791;807;831;832;863;883;886;897;898;917;937;948;1045;1077;1182;1183;1212
hsa05162,Measles - Homo sapiens (human),48,ADAR;AKT1;BBC3;BCL2;BCL2L1;CASP3;CBLB;CCND1;CCNE1;CD209;CD46;CDK6;EIF2S1;FAS;FASLG;FCGR2B;HSPA1A;HSPA1B;IFIH1;IFNA2;IFNB1;IL12A;IL12B;IL1A;IL1B;IL2;IL2RA;IL6;IRAK1;JAK1;JUN;MAP3K7;MX1;NFKB1;NFKBIA;PIK3R1;RELA;RIGI;STAT1;STAT3;TAB2;TLR4;TLR9;TNFAIP3;TP53;TP73;TRAF6;TYK2,19;37;103;106;107;145;150;161;162;172;178;189;351;388;389;397;534;535;550;553;554;572;573;578;579;582;586;592;602;613;616;690;737;768;770;863;948;955;1079;1080;1089;1134;1135;1142;1162;1163;1170;1192
hsa04933,AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),47,AGER;AGT;AGTR1;AKT1;BCL2;CASP3;CCL2;CCND1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;CXCL8;EDN1;F3;FN1;HRAS;ICAM1;IL1A;IL1B;IL6;JUN;KRAS;MMP2;NFKB1;NOS3;NRAS;PIK3R1;RELA;SELE;SERPINE1;SMAD2;SMAD3;SMAD4;STAT1;STAT3;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;THBD;TNF;VCAM1;VEGFA;VEGFD,27;28;29;37;106;145;155;161;239;240;242;243;244;289;343;374;414;529;542;578;579;592;616;638;716;768;781;795;863;948;999;1003;1049;1050;1051;1079;1080;1116;1117;1118;1119;1120;1124;1141;1213;1217;1218
hsa04218,Cellular senescence - Homo sapiens (human),47,AKT1;ATM;CAPN2;CCNB3;CCND1;CCNE1;CDK6;CDKN2A;CDKN2B;CHEK2;CXCL8;ETS1;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;IL1A;IL6;KRAS;MAP2K1;MAP2K2;MRAS;MYC;NFKB1;NRAS;PIK3R1;PTEN;RAD50;RAF1;RASSF5;RB1;RELA;SERPINE1;SIRT1;SMAD2;SMAD3;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP53;TRAF3IP2;TRPV4;TSC1;TSC2,37;87;138;160;161;162;189;192;193;209;289;370;510;511;512;519;529;578;592;638;687;688;723;740;768;795;863;919;935;937;940;941;948;1003;1015;1049;1050;1116;1117;1118;1119;1120;1162;1169;1179;1180;1181
hsa05132,Salmonella infection - Homo sapiens (human),47,ACTG1;AKT1;ANXA2;BCL2;BIRC2;BIRC3;CASP1;CASP3;CASP7;CD14;CTNNB1;CXCL8;DCTN4;DYNC2H1;DYNC2LI1;FLNA;GAPDH;HRAS;IL18;IL1B;IL6;IRAK1;JUN;KIF5B;MAP2K1;MAP2K2;MAP3K7;MYC;NFKB1;NFKBIA;NLRP3;PIK3CG;RAB7B;RAF1;RELA;S100A10;TAB2;TCF7;TIRAP;TLR4;TLR9;TNF;TNFRSF1A;TNFSF10;TRAF6;TUBA1B;TUBA1C,15;37;59;106;114;115;144;145;146;169;283;289;305;337;340;412;433;529;577;579;592;602;616;634;687;688;690;740;768;770;774;862;934;937;948;979;1089;1105;1132;1134;1135;1141;1148;1151;1170;1188;1189
hsa05145,Toxoplasmosis - Homo sapiens (human),46,AKT1;ALOX5;BCL2;BCL2L1;BIRC2;BIRC3;CASP3;CD40;CD40LG;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA1A;HSPA1B;IFNG;IL10;IL10RA;IL12A;IL12B;IRAK1;IRGM;JAK1;LAMA2;LAMB1;LAMC1;LDLR;MAP3K7;NFKB1;NFKBIA;NOS2;PIK3CG;RELA;STAT1;STAT3;TAB2;TGFB1;TGFB2;TGFB3;TLR4;TNF;TNFRSF1A;TRAF6;TYK2,37;46;106;107;114;115;145;175;176;513;514;515;516;517;518;534;535;555;570;571;572;573;602;605;613;644;645;646;651;690;768;770;780;862;948;1079;1080;1089;1116;1117;1118;1134;1141;1148;1170;1192
hsa05167,Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),46,AKT1;C3;CASP3;CCND1;CCR4;CD86;CDK6;CSF2;CTNNB1;CXCL8;FAS;FGF2;GNB3;HIF1A;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;ICAM1;IFNA2;IFNB1;IL6;JAK1;JUN;KRAS;MAP2K1;MAP2K2;MYC;NFKB1;NFKBIA;NRAS;PIK3CG;PIK3R1;PTGS2;RAF1;RB1;RCAN1;RELA;STAT1;STAT3;TCF7;TNFRSF1A;TP53;TYK2;VEGFA,37;133;145;161;164;184;189;273;283;289;388;404;455;508;510;511;512;519;529;542;553;554;592;613;616;638;687;688;740;768;770;795;862;863;921;937;941;944;948;1079;1080;1105;1148;1162;1192;1217
hsa04518,Integrin signaling - Homo sapiens (human),46,ACTG1;AKT1;C3;CCND1;COL1A1;COL1A2;COL2A1;COL4A1;COL4A2;COL9A1;COL9A2;COL9A3;CTNNB1;DSPP;EGFR;ERBB2;FBN1;FGA;FGB;FLNA;FN1;FREM1;HGF;ICAM1;IGF1;IGF1R;LAMA2;LAMB1;LAMC1;MET;NCK2;PDGFD;PDGFRA;PIK3R1;SPP1;TGFB1;THBS1;THBS2;TLN1;TNC;TNXB;VCAM1;VCL;VEGFA;VEGFD;VTN,15;37;133;161;239;240;241;243;244;247;248;249;283;335;348;362;390;402;403;412;414;420;503;542;562;563;644;645;646;701;754;836;837;863;1075;1116;1125;1126;1133;1140;1158;1213;1215;1217;1218;1224
hsa05207,Chemical carcinogenesis - receptor activation - Homo sapiens (human),45,ADCY2;ADCY5;AHR;AIPL1;AKT1;BCL2;CCND1;CREB3L1;CYP1A1;CYP1A2;CYP3A4;EGFR;EPHX1;ESR1;ESR2;FGF2;FGF8;GNAS;GSTA4;GSTM1;GSTT1;HRAS;JAG1;JUN;KRAS;MAP2K1;MAP2K2;MYC;NFKB1;NRAS;PGR;PIK3R1;PPARA;PRKACA;PRKACB;RAF1;RB1;RELA;SOS1;STAT3;TNFSF11;UGT1A4;VDR;VEGFA;WNT1,21;22;30;34;37;106;161;260;294;295;302;348;358;366;367;404;405;454;473;474;476;529;611;616;638;687;688;740;768;795;856;863;886;897;898;937;941;948;1068;1080;1152;1196;1216;1217;1229
hsa05226,Gastric cancer - Homo sapiens (human),45,ABCB1;AKT1;APC;BCL2;BRAF;CCND1;CCNE1;CDKN2B;CTNNA2;CTNNA3;CTNNB1;EGFR;ERBB2;FGF2;FGF8;FGFR2;FZD4;HGF;HRAS;KRAS;LRP5;MAP2K1;MAP2K2;MET;MYC;NRAS;PIK3R1;RAF1;RB1;SHH;SMAD2;SMAD3;SMAD4;SOS1;TCF7;TERT;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP53;WNT1;WNT11;WNT5A,4;37;61;106;122;161;162;193;281;282;283;348;362;404;405;407;426;503;529;638;670;687;688;701;740;795;863;937;941;1012;1049;1050;1051;1068;1105;1109;1116;1117;1118;1119;1120;1162;1229;1230;1231
hsa05160,Hepatitis C - Homo sapiens (human),44,AKT1;BRAF;CASP3;CCND1;CD81;CDK6;CLDN11;CLDN18;CTNNB1;CXCL10;EGFR;EIF2S1;FAS;FASLG;HRAS;IFNA2;IFNB1;IFNG;JAK1;KRAS;LDLR;MAP2K1;MAP2K2;MX1;MYC;NFKB1;NFKBIA;NRAS;PIK3R1;PPARA;PPP2CA;RAF1;RB1;RELA;RIGI;SOCS3;SOS1;STAT1;STAT3;TNF;TNFRSF1A;TP53;TRAF6;TYK2,37;122;145;161;183;189;223;224;283;285;348;351;388;389;529;553;554;555;613;638;651;687;688;737;740;768;770;795;863;886;891;937;941;948;955;1064;1068;1079;1080;1141;1148;1162;1170;1192
hsa05208,Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human),43,AHR;AKT1;BRAF;CAT;CYBA;CYC1;CYP1A1;CYP1A2;CYP2E1;EGFR;EPHX1;GSTA4;GSTM1;GSTT1;HGF;HIF1A;HMOX1;HRAS;JUN;KRAS;MAP2K1;MAP2K2;MAP3K5;MET;NDUFS3;NFE2L2;NFKB1;NFKBIA;NQO1;NRAS;PIK3R1;PTEN;PTPN11;RAF1;RELA;SLC26A2;SOD1;SOD2;SOS1;UQCRB;UQCRC2;UQCRQ;VEGFA,30;37;122;147;291;292;294;295;300;348;358;473;474;476;503;508;522;529;616;638;687;688;689;701;759;767;768;770;792;795;863;919;925;937;948;1028;1065;1066;1068;1202;1203;1204;1217
hsa05224,Breast cancer - Homo sapiens (human),43,AKT1;APC;BRAF;BRCA2;CCND1;CDK6;CTNNB1;EGFR;ERBB2;ESR1;ESR2;FGF2;FGF8;FGFR1;FZD4;HES1;HEY2;HRAS;IGF1;IGF1R;JAG1;JAG2;JUN;KRAS;LRP5;MAP2K1;MAP2K2;MYC;NFKB2;NOTCH1;NRAS;PGR;PIK3R1;PTEN;RAF1;RB1;SOS1;TCF7;TNFSF11;TP53;WNT1;WNT11;WNT5A,37;61;122;123;161;189;283;348;362;366;367;404;405;406;426;500;501;529;562;563;611;612;616;638;670;687;688;740;769;782;795;856;863;919;937;941;1068;1105;1152;1162;1229;1230;1231
hsa04668,TNF signaling pathway - Homo sapiens (human),43,AKT1;BCL3;BIRC2;BIRC3;CASP3;CASP7;CCL2;CCL20;CCL5;CREB3L1;CSF2;CXCL10;DNM1L;EDN1;FAS;ICAM1;IFNB1;IL15;IL1B;IL6;JAG1;JUN;LTA;MAP2K1;MAP3K5;MAP3K7;MMP3;MMP9;NFKB1;NFKBIA;NOD2;PIK3R1;PTGS2;RELA;SELE;SOCS3;TAB2;TNF;TNFAIP3;TNFRSF1A;TRAF1;VCAM1;VEGFD,37;108;114;115;145;146;155;156;159;260;273;285;324;343;388;542;554;575;579;592;611;616;674;687;689;690;717;718;768;770;777;863;921;948;999;1064;1089;1141;1142;1148;1168;1213;1218
hsa04926,Relaxin signaling pathway - Homo sapiens (human),42,ACTA2;ADCY2;ADCY5;AKT1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;CREB3L1;EDN1;EDNRB;EGFR;GNAS;GNB3;HRAS;INSL3;JUN;KRAS;MAP2K1;MAP2K2;MMP1;MMP2;MMP9;NFKB1;NFKBIA;NOS1;NOS2;NOS3;NRAS;PIK3R1;PRKACA;PRKACB;RAF1;RELA;SMAD2;SOS1;TGFB1;TGFBR1;TGFBR2;VEGFA;VEGFD,14;21;22;37;239;240;242;243;244;260;343;345;348;454;455;529;598;616;638;687;688;713;716;718;768;770;779;780;781;795;863;897;898;937;948;1049;1068;1116;1119;1120;1217;1218
hsa04068,FoxO signaling pathway - Homo sapiens (human),42,AKT1;ATM;BNIP3;BRAF;CAT;CCNB3;CCND1;CDKN2B;EGFR;FASLG;HRAS;IGF1;IGF1R;IL10;IL6;IL7R;INS;INSR;IRS1;IRS2;KRAS;MAP2K1;MAP2K2;NRAS;PCK1;PIK3R1;PLK1;PTEN;RAF1;SIRT1;SKP2;SMAD3;SMAD4;SOD2;SOS1;STAT3;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TNFSF10,37;87;121;122;147;160;161;193;348;389;529;562;563;570;592;595;597;599;606;607;638;687;688;795;827;863;873;919;937;1015;1020;1050;1051;1066;1068;1080;1116;1117;1118;1119;1120;1151
hsa04210,Apoptosis - Homo sapiens (human),41,ACTG1;AIFM1;AKT1;ATM;BBC3;BCL2;BCL2L1;BIRC2;BIRC3;CAPN2;CASP3;CASP7;CTSL;DIABLO;EIF2S1;ERN1;FAS;FASLG;HRAS;JUN;KRAS;MAP2K1;MAP2K2;MAP3K5;MCL1;NFKB1;NFKBIA;NGF;NRAS;NTRK1;PARP1;PIK3R1;RAF1;RELA;TNF;TNFRSF1A;TNFSF10;TP53;TRAF1;TUBA1B;TUBA1C,15;32;37;87;103;106;107;114;115;138;145;146;284;320;351;365;388;389;529;616;638;687;688;689;696;768;770;771;795;799;819;863;937;948;1141;1148;1151;1162;1168;1188;1189
hsa04020,Calcium signaling pathway - Homo sapiens (human),40,ADCY2;AGTR1;ATP2B1;CCKBR;CHRM3;DRD1;EDNRB;EGFR;ERBB2;FGF2;FGF8;FGFR1;FGFR2;FGFR3;GDNF;GNAS;HGF;HRH1;HTR2A;MET;MST1;MST1R;MYLK;NGF;NOS1;NOS2;NOS3;NTRK1;NTRK2;NTRK3;P2RX7;PDGFD;PDGFRA;PRKACA;PRKACB;PTAFR;RET;TGFA;VEGFA;VEGFD,21;29;92;153;213;331;345;348;362;404;405;406;407;408;443;454;503;530;539;701;728;729;744;771;779;780;781;799;800;801;808;836;837;897;898;915;950;1115;1217;1218
hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human),40,ACTG1;ACVR1;AKT1;BCL2;BMP4;CCL2;CTNNB1;CTSL;CYBA;EDN1;GSTA4;GSTM1;GSTP1;GSTT1;HMOX1;ICAM1;IFNG;IL1A;IL1B;JUN;MAP3K5;MAP3K7;MMP2;MMP9;NFE2L2;NFKB1;NOS3;NQO1;PECAM1;PIK3R1;PLAT;RELA;SELE;THBD;TNF;TNFRSF1A;TP53;TRPV4;VCAM1;VEGFA,15;16;37;106;119;155;283;284;291;343;473;474;475;476;522;542;555;578;579;616;689;690;716;718;767;768;781;792;840;863;870;948;999;1124;1141;1148;1162;1179;1213;1217
hsa04015,Rap1 signaling pathway - Homo sapiens (human),40,ACTG1;ADCY2;ADCY5;AKT1;BRAF;CNR1;CRKL;CTNNB1;DRD2;EGFR;EPHA2;FGF2;FGF8;FGFR1;FGFR2;FGFR3;GNAS;HGF;HRAS;IGF1;IGF1R;INS;INSR;KRAS;MAP2K1;MAP2K2;MET;MRAS;NGF;NRAS;PDGFD;PDGFRA;PIK3R1;RAF1;RASSF5;THBS1;TLN1;VAV1;VEGFA;VEGFD,15;21;22;37;122;232;262;283;332;348;357;404;405;406;407;408;454;503;529;562;563;597;599;638;687;688;701;723;771;795;836;837;863;937;940;1125;1133;1212;1217;1218
hsa05012,Parkinson disease - Homo sapiens (human),40,ADCY5;ATF6;BCL2L1;CASP3;CYC1;DRD1;DRD2;EIF2S1;ERN1;GNAS;KIF5B;LRRK2;MAOA;MAOB;MAP3K5;MAPT;NDUFS3;NFE2L2;PARK7;PINK1;PRKACA;PRKACB;PRKN;PSMA2;PSMA5;PSMD14;SLC11A2;SLC18A2;SLC39A13;SLC6A3;SNCA;SOD1;TH;TP53;TUBA1B;TUBA1C;UQCRB;UQCRC2;UQCRQ;XBP1,22;83;107;145;292;331;332;351;365;454;634;672;684;685;689;691;759;767;817;864;897;898;900;910;911;912;1025;1026;1036;1043;1059;1065;1123;1162;1188;1189;1202;1203;1204;1234
hsa05202,Transcriptional misregulation in cancer - Homo sapiens (human),40,ATM;BCL2L1;BIRC2;BIRC3;BMI1;CD14;CD40;CD86;CDK9;CSF2;CXCL8;DEFA4;FLI1;H3-3A;H3C2;IGF1;IGF1R;IL6;MET;MMP3;MMP9;MPO;MYC;MYCN;NFKB1;NTRK1;PAX3;PBX1;PLAT;PLAU;PPARG;REL;RELA;RUNX2;TAF15;TCF3;TGFBR2;TP53;TRAF1;WT1,87;107;114;115;116;169;175;184;190;273;289;310;411;485;486;562;563;592;701;717;718;722;740;742;768;799;820;823;870;871;887;947;948;977;1091;1104;1120;1162;1168;1232
hsa05014,Amyotrophic lateral sclerosis - Homo sapiens (human),40,ACTG1;ANXA11;ATF6;BCL2;BCL2L1;C9ORF72;CASP1;CASP3;CAT;CHMP2B;CYC1;DCTN4;DNAH5;EIF2S1;ERN1;GPX1;HDAC6;KIF5B;MAP3K5;NDUFS3;NOS1;NOS2;NRG1;PINK1;PRKN;PSMA2;PSMA5;PSMD14;SIGMAR1;SOD1;TARDBP;TNF;TNFRSF1A;TP53;TUBA1B;TUBA1C;UQCRB;UQCRC2;UQCRQ;XBP1,15;58;83;106;107;134;144;145;147;212;292;305;323;351;365;465;496;634;689;759;779;780;796;864;900;910;911;912;1014;1065;1095;1141;1148;1162;1188;1189;1202;1203;1204;1234
hsa04550,Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human),40,ACVR1;AKT1;APC;BMI1;BMP4;CTNNB1;FGF2;FGFR1;FGFR2;FGFR3;FZD4;HRAS;ID3;IGF1;IGF1R;ISL1;JAK1;JARID2;KAT6A;KRAS;LIFR;MAP2K1;MAP2K2;MYC;NODAL;NRAS;PAX6;PIK3R1;POU5F1;RAF1;SMAD2;SMAD3;SMAD4;SOX2;STAT3;TCF3;TCF7;WNT1;WNT11;WNT5A,16;37;61;116;119;283;404;406;407;408;426;529;545;562;563;610;613;614;617;638;654;687;688;740;778;795;821;863;885;937;1049;1050;1051;1070;1080;1104;1105;1229;1230;1231
hsa05321,Inflammatory bowel disease - Homo sapiens (human),40,FOXP3;GATA3;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IFNG;IL10;IL12A;IL12B;IL13;IL17A;IL18;IL1A;IL1B;IL2;IL21;IL23A;IL23R;IL4;IL4R;IL5;IL6;JUN;NFKB1;NOD2;RELA;SMAD2;SMAD3;STAT1;STAT3;STAT4;TBX21;TGFB1;TGFB2;TGFB3;TLR4;TNF,418;437;513;514;515;516;517;518;555;570;572;573;574;576;577;578;579;582;583;584;585;589;590;591;592;616;768;777;948;1049;1050;1079;1080;1081;1100;1116;1117;1118;1134;1141
hsa05415,Diabetic cardiomyopathy - Homo sapiens (human),39,ACE;AGER;AGT;AGTR1;AKT1;CD36;COL1A1;COL1A2;COL3A1;CPT1B;CYBA;CYC1;G6PD;GAPDH;INS;INSR;IRS1;MMP2;MMP9;NCF4;NDUFS3;NFKB1;NOS3;PARP1;PIK3R1;PPARA;PTEN;RELA;REN;SMAD2;SMAD3;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;UQCRB;UQCRC2;UQCRQ,11;27;28;29;37;173;239;240;242;255;291;292;427;433;597;599;606;716;718;752;759;768;781;819;863;886;919;948;949;1049;1050;1116;1117;1118;1119;1120;1202;1203;1204
hsa05131,Shigellosis - Homo sapiens (human),39,ACTG1;AKT1;ATG16L1;ATM;BCL2;BCL2L1;BNIP3;C3;CAPN2;CASP1;CCL5;CD14;CD44;CRKL;CSF2;CXCL8;EGFR;H3-3A;H3C2;IFNB1;IL18;IL1B;JUN;MAP3K7;NFKB1;NFKBIA;NLRP3;PIK3R1;RELA;TAB2;TLN1;TLR4;TNF;TNFRSF1A;TNIP1;TP53;TRAF6;U2AF1;VCL,15;37;84;87;106;107;121;133;138;144;159;169;177;262;273;289;348;485;486;554;577;579;616;690;768;770;774;863;948;1089;1133;1134;1141;1148;1157;1162;1170;1193;1215
hsa04621,NOD-like receptor signaling pathway - Homo sapiens (human),39,AIM2;ANTXR2;ATG16L1;BCL2;BCL2L1;BIRC2;BIRC3;CARD8;CASP1;CCL2;CCL5;CXCL8;CYBA;DEFA4;DNM1L;GBP5;IFNA2;IFNB1;IL18;IL1B;IL6;IRGM;JAK1;JUN;MAP3K7;NFKB1;NFKBIA;NLRP3;NOD2;P2RX7;RELA;STAT1;TAB2;TLR4;TNF;TNFAIP3;TRAF6;TRPM2;TYK2,33;57;84;106;107;114;115;141;144;155;159;289;291;310;324;439;553;554;577;579;592;605;613;616;690;768;770;774;777;808;948;1079;1089;1134;1141;1142;1170;1177;1192
hsa05203,Viral carcinogenesis - Homo sapiens (human),39,C3;CASP3;CCND1;CCNE1;CCR4;CDK6;CDKN2A;CDKN2B;CREB3L1;DDX3X;GSN;HDAC6;HDAC9;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;JAK1;JUN;KRAS;LTBR;NFKB1;NFKB2;NFKBIA;NRAS;PIK3R1;PKM;PRKACA;PRKACB;RB1;RBPJ;REL;RELA;SKP2;STAT3;TP53;TRAF1;UBE3A,133;145;161;162;164;189;192;193;260;309;472;496;497;510;511;512;519;529;613;616;638;678;768;769;770;795;863;867;897;898;941;943;947;948;1020;1080;1162;1168;1195
hsa04659,Th17 cell differentiation - Homo sapiens (human),39,AHR;CD4;FOXP3;GATA3;HIF1A;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IFNG;IL17A;IL1B;IL2;IL21;IL23A;IL23R;IL2RA;IL4;IL4R;IL6;IL6R;IRF4;JAK1;JUN;NFKB1;NFKBIA;RELA;SMAD2;SMAD3;SMAD4;STAT1;STAT3;TBX21;TGFB1;TGFBR1;TGFBR2;TYK2,30;174;418;437;508;513;514;515;516;517;518;555;576;579;582;583;584;585;586;589;590;592;593;603;613;616;768;770;948;1049;1050;1051;1079;1080;1100;1116;1119;1120;1192
hsa05215,Prostate cancer - Homo sapiens (human),39,AKT1;BCL2;BRAF;CCND1;CCNE1;CREB3L1;CTNNB1;EGFR;ERBB2;FGFR1;FGFR2;FOLR1;FOLR2;GSTP1;HRAS;IGF1;IGF1R;INS;KRAS;MAP2K1;MAP2K2;MMP3;MMP9;NFKB1;NFKBIA;NRAS;PDGFD;PDGFRA;PIK3R1;PLAT;PLAU;PTEN;RAF1;RB1;RELA;SOS1;TCF7;TGFA;TP53,37;106;122;161;162;260;283;348;362;406;407;415;416;475;529;562;563;597;638;687;688;717;718;768;770;795;836;837;863;870;871;919;937;941;948;1068;1105;1115;1162
hsa04064,NF-kappa B signaling pathway - Homo sapiens (human),38,ATM;BCL2;BCL2L1;BIRC2;BIRC3;CARD14;CCL4;CD14;CD40;CD40LG;CXCL12;CXCL8;ICAM1;IL1B;IRAK1;LTA;LTBR;MAP3K7;NFKB1;NFKB2;NFKBIA;PARP1;PLAU;PTGS2;RELA;RIGI;TAB2;TIRAP;TLR4;TNF;TNFAIP3;TNFRSF13C;TNFRSF1A;TNFSF11;TNFSF14;TRAF1;TRAF6;VCAM1,87;106;107;114;115;140;158;169;175;176;287;289;542;579;602;674;678;690;768;769;770;819;871;921;948;955;1089;1132;1134;1141;1142;1145;1148;1152;1153;1168;1170;1213
hsa05170,Human immunodeficiency virus 1 infection - Homo sapiens (human),38,AKT1;AP1S3;ATM;BCL2;BCL2L1;CASP3;CCNB3;CD4;CRKL;FAS;FASLG;GNB3;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;IFNA2;IFNB1;IRAK1;JUN;KRAS;MAP2K1;MAP2K2;MAP3K7;NFKB1;NFKBIA;NRAS;PAK4;PIK3R1;RAF1;RELA;SAMHD1;TAB2;TLR4;TNF;TNFRSF1A;TRAF6,37;60;87;106;107;145;160;174;262;388;389;455;510;511;512;519;529;553;554;602;616;638;687;688;690;768;770;795;815;863;937;948;986;1089;1134;1141;1148;1170
