PathwayID,PathwayName,NumGenes,GeneSymbols,GeneIndices
hsa05010,Alzheimer disease - Homo sapiens (human),59,AGER;AKT1;APC;APOE;ATF6;BRAF;CAPN2;CASP3;CASP7;CHRM3;CTNNB1;CYC1;EIF2S1;ERN1;FAS;FZD4;GAPDH;HRAS;IL1A;IL1B;IL6;INS;INSR;IRS1;IRS2;KIF5B;KRAS;LPL;LRP5;MAP2K1;MAP2K2;MAP3K5;MAPT;NDUFS3;NFKB1;NOS1;NOS2;NRAS;PIK3R1;PSMA2;PSMA5;PSMD14;PTGS2;RAF1;RELA;SLC11A2;SLC39A13;SNCA;TNF;TNFRSF1A;TUBA1B;TUBA1C;UQCRB;UQCRC2;UQCRQ;WNT1;WNT11;WNT5A;XBP1,27;37;61;69;83;122;138;145;146;213;283;292;351;365;388;426;433;529;578;579;592;597;599;606;607;634;638;666;670;687;688;689;691;759;768;779;780;795;863;910;911;912;921;937;948;1025;1036;1059;1141;1148;1188;1189;1202;1203;1204;1229;1230;1231;1234
hsa05206,MicroRNAs in cancer - Homo sapiens (human),57,ABCB1;APC;ATM;BCL2;BMI1;CASP3;CCND1;CCNE1;CD44;CDK6;CDKN2A;CRKL;CYP24A1;DDIT4;DNMT1;DNMT3A;EGFR;ERBB2;EZH2;FGFR3;FOXP1;HMOX1;HRAS;IGF2BP1;IRS1;IRS2;KRAS;MAP2K1;MAP2K2;MCL1;MET;MMP9;MYC;NFKB1;NOTCH1;NRAS;PAK4;PDGFRA;PIK3R1;PLAU;PTEN;PTGS2;RAF1;RASSF1;SIRT1;SOS1;ST14;STAT3;STMN1;TGFB2;THBS1;TIMP3;TNC;TNXB;TP53;VEGFA;VIM,4;61;87;106;116;145;161;162;177;189;192;262;296;308;325;326;348;362;372;408;417;522;529;565;606;607;638;687;688;696;701;718;740;768;782;795;815;837;863;871;919;921;937;939;1015;1068;1078;1080;1082;1117;1125;1130;1140;1158;1162;1217;1220
hsa05163,Human cytomegalovirus infection - Homo sapiens (human),57,ADCY2;ADCY5;AKT1;CASP3;CCL2;CCL3;CCL4;CCL5;CCND1;CDK6;CDKN2A;CREB3L1;CRKL;CTNNB1;CXCL12;CXCL8;EGFR;FAS;FASLG;GNA13;GNAS;GNB3;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;IFNA2;IFNB1;IL10RA;IL1B;IL6;IL6R;JAK1;KRAS;MAP2K1;MAP2K2;MYC;NFKB1;NFKBIA;NRAS;PDGFRA;PIK3R1;PRKACA;PRKACB;PTGS2;RAF1;RB1;RELA;SOS1;STAT3;TNF;TNFRSF1A;TP53;TSC1;TSC2;VEGFA,21;22;37;145;155;157;158;159;161;189;192;260;262;283;287;289;348;388;389;453;454;455;510;511;512;519;529;553;554;571;579;592;593;613;638;687;688;740;768;770;795;837;863;897;898;921;937;941;948;1068;1080;1141;1148;1162;1180;1181;1217
hsa05225,Hepatocellular carcinoma - Homo sapiens (human),56,ACTG1;AKT1;APC;ARID1A;ARID1B;BCL2L1;BRAF;CCND1;CDK6;CDKN2A;CTNNB1;EGFR;FZD4;GSTA4;GSTM1;GSTP1;GSTT1;HGF;HMOX1;HRAS;IGF1R;IGF2;KRAS;LRP5;MAP2K1;MAP2K2;MET;MYC;NFE2L2;NQO1;NRAS;PBRM1;PIK3R1;PTEN;RAF1;RB1;SMAD2;SMAD3;SMAD4;SMARCA2;SMARCA4;SMARCB1;SMARCE1;SOS1;TCF7;TERT;TGFA;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP53;WNT1;WNT11;WNT5A,15;37;61;73;74;107;122;161;189;192;283;348;426;473;474;475;476;503;522;529;563;564;638;670;687;688;701;740;767;792;795;822;863;919;937;941;1049;1050;1051;1053;1054;1055;1056;1068;1105;1109;1115;1116;1117;1118;1119;1120;1162;1229;1230;1231
hsa05169,Epstein-Barr virus infection - Homo sapiens (human),55,AKT1;BCL2;CASP3;CCND1;CCNE1;CD19;CD40;CD44;CD58;CDK6;CR2;CXCL10;FAS;FCER2;HES1;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;ICAM1;IFNA2;IFNB1;IL6;IRAK1;ISG15;JAK1;JUN;MAP3K7;MYC;NFKB1;NFKB2;NFKBIA;PIK3R1;PSMD14;RB1;RBPJ;RELA;RIGI;RUNX3;SKP2;STAT1;STAT3;TAB2;TNF;TNFAIP3;TP53;TRAF6;TYK2;VIM,37;106;145;161;162;170;175;177;179;189;257;285;388;395;500;510;511;512;513;514;515;516;517;518;519;542;553;554;592;602;609;613;616;690;740;768;769;770;863;912;941;943;948;955;978;1020;1079;1080;1089;1141;1142;1162;1170;1192;1220
hsa05171,Coronavirus disease - COVID-19 - Homo sapiens (human),55,ACE;ACE2;ADAR;AGTR1;C1R;C1S;C3;CASP1;CCL2;CFB;CSF2;CSF3;CXCL10;CXCL8;EGFR;F2;FCGR2A;FGA;FGB;IFIH1;IFNA2;IFNB1;IL12A;IL12B;IL1B;IL2;IL6;IL6R;IRAK1;ISG15;JAK1;JUN;MAP3K7;MMP1;MMP3;MX1;NFKB1;NFKBIA;NLRP3;PIK3R1;RELA;RIGI;RPL14;RPL21;RPL23A;RPL6;RPS8;STAT1;STAT3;TAB2;TLR4;TNF;TNFRSF1A;TRAF6;TYK2,11;12;19;29;131;132;133;144;155;201;273;274;285;289;348;373;396;402;403;550;553;554;572;573;579;582;592;593;602;609;613;616;690;713;717;737;768;770;774;863;948;955;968;969;970;971;973;1079;1080;1089;1134;1141;1148;1170;1192
hsa04630,JAK-STAT signaling pathway - Homo sapiens (human),55,AKT1;BCL2;BCL2L1;CCND1;CISH;CSF2;CSF3;EGFR;EPO;GFAP;HRAS;IFNA2;IFNB1;IFNG;IFNL3;IFNLR1;IL10;IL10RA;IL12A;IL12B;IL13;IL15;IL2;IL21;IL23A;IL23R;IL2RA;IL4;IL4R;IL5;IL6;IL6R;IL7;IL7R;JAK1;LEP;LIFR;MCL1;MPL;MYC;PDGFRA;PIK3R1;PRL;PRLR;PTPN11;PTPN2;RAF1;SOCS2;SOCS3;SOS1;STAT1;STAT3;STAT4;TSLP;TYK2,37;106;107;161;219;273;274;348;359;444;529;553;554;555;556;557;570;571;572;573;574;575;582;583;584;585;586;589;590;591;592;593;594;595;613;652;654;696;721;740;837;863;901;902;925;927;937;1063;1064;1068;1079;1080;1081;1184;1192
hsa04081,Hormone signaling - Homo sapiens (human),55,ACVR1;ADCY2;ADCY5;ADIPOQ;AGT;AGTR1;CALCR;CCKBR;DRD1;DRD2;EPO;ESR1;ESR2;GAST;GHRL;GNA13;GNAS;GNB3;GNRH1;GPER1;GUCA2B;HAMP;HCRTR2;IGF1;IGF1R;IGF2;INS;INSR;IRS1;IRS2;LEP;LHB;MC1R;MPL;NOS1;NPPB;NPR3;OXT;PENK;PIK3R1;POMC;PRKACA;PRKACB;PRKG1;PRL;PRLR;PTH;PTHLH;SLC40A1;SMAD4;SST;STAT3;TRH;TSHB;TSHR,16;21;22;24;28;29;136;153;331;332;359;366;367;436;447;453;454;455;456;462;478;488;495;562;563;564;597;599;606;607;652;653;694;721;779;787;788;807;842;863;883;897;898;899;901;902;922;923;1037;1051;1077;1080;1172;1182;1183
hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),54,AKT1;BCL2;BCL2L1;BIRC2;BIRC3;C3;CASP3;CCL2;CCL5;EIF2S1;FAS;FASLG;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;IFIH1;IFNA2;IFNB1;IFNG;IL12A;IL12B;IL1B;IL6;IRAK1;JAK1;LTA;MAP3K7;NECTIN2;NFKB1;NFKBIA;PIK3R1;PTPN11;RELA;RIGI;SOCS3;STAT1;TAB2;TLR9;TNF;TNFRSF14;TNFRSF1A;TNFSF14;TP53;TRAF6;TSC1;TSC2;TYK2,37;106;107;114;115;133;145;155;159;351;388;389;510;511;512;513;514;515;516;517;518;519;550;553;554;555;572;573;579;592;602;613;674;690;760;768;770;863;925;948;955;1064;1079;1089;1135;1141;1146;1148;1153;1162;1170;1180;1181;1192
hsa04510,Focal adhesion - Homo sapiens (human),52,ACTG1;AKT1;BCL2;BIRC2;BIRC3;BRAF;CAPN2;CCND1;COL1A1;COL1A2;COL2A1;COL4A1;COL4A2;COL9A1;COL9A2;COL9A3;CRKL;CTNNB1;EGFR;ERBB2;FLNA;FN1;HGF;HRAS;IGF1;IGF1R;JUN;LAMA2;LAMB1;LAMC1;MAP2K1;MET;MYLK;PAK4;PDGFD;PDGFRA;PIK3R1;PTEN;RAF1;RASGRF1;SOS1;SPP1;THBS1;THBS2;TLN1;TNC;TNXB;VAV1;VCL;VEGFA;VEGFD;VTN,15;37;106;114;115;122;138;161;239;240;241;243;244;247;248;249;262;283;348;362;412;414;503;529;562;563;616;644;645;646;687;701;744;815;836;837;863;919;937;938;1068;1075;1125;1126;1133;1140;1158;1212;1215;1217;1218;1224
