DiseaseName_norm,DrugBankID,Source
atypicalhemolyticuremicsyndrome,DB16200,gene_target
myastheniagravis,DB16200,gene_target
cysticfibrosis,DB08820,gene_target
cysticfibrosis,DB09280,gene_target
cysticfibrosis,DB11712,gene_target
cysticfibrosis,DB15444,gene_target
cryptorchidism,DB00185,gene_target
cryptorchidism,DB00332,gene_target
cryptorchidism,DB00383,gene_target
cryptorchidism,DB00387,gene_target
cryptorchidism,DB00496,gene_target
cryptorchidism,DB00517,gene_target
cryptorchidism,DB00572,gene_target
cryptorchidism,DB00725,gene_target
cryptorchidism,DB00747,gene_target
cryptorchidism,DB00986,gene_target
cryptorchidism,DB01019,gene_target
cryptorchidism,DB01036,gene_target
cryptorchidism,DB01062,gene_target
cryptorchidism,DB01085,gene_target
cryptorchidism,DB01231,gene_target
cryptorchidism,DB01409,gene_target
cryptorchidism,DB01591,gene_target
cryptorchidism,DB01625,gene_target
cryptorchidism,DB04843,gene_target
cryptorchidism,DB06702,gene_target
cryptorchidism,DB06709,gene_target
cryptorchidism,DB06787,gene_target
cryptorchidism,DB08897,gene_target
cryptorchidism,DB09076,gene_target
cryptorchidism,DB09089,gene_target
cryptorchidism,DB09167,gene_target
cryptorchidism,DB09300,gene_target
cryptorchidism,DB11181,gene_target
cryptorchidism,DB11315,gene_target
cryptorchidism,DB12278,gene_target
cryptorchidism,DB13262,gene_target
cryptorchidism,DB13720,gene_target
cryptorchidism,DB15357,gene_target
cryptorchidism,DB19325,gene_target
cryptorchidism,DB00340,gene_target
cryptorchidism,DB11855,gene_target
glioma,DB01046,gene_target
retinitispigmentosa,DB04209,gene_target
huntingtondisease,DB00470,gene_target
huntingtondisease,DB00486,gene_target
huntingtondisease,DB01083,gene_target
huntingtondisease,DB06155,gene_target
huntingtondisease,DB09061,gene_target
multiplesclerosis,DB00470,gene_target
multiplesclerosis,DB00486,gene_target
multiplesclerosis,DB01083,gene_target
multiplesclerosis,DB06155,gene_target
multiplesclerosis,DB09061,gene_target
rhabdomyosarcoma,DB00470,gene_target
rhabdomyosarcoma,DB00486,gene_target
rhabdomyosarcoma,DB01083,gene_target
rhabdomyosarcoma,DB06155,gene_target
rhabdomyosarcoma,DB09061,gene_target
atherosclerosis,DB00470,gene_target
atherosclerosis,DB00486,gene_target
atherosclerosis,DB09061,gene_target
digeorgesyndrome,DB00323,gene_target
digeorgesyndrome,DB00494,gene_target
digeorgesyndrome,DB11632,gene_target
narcolepsy,DB00583,gene_target
narcolepsy,DB01074,gene_target
multiplemyeloma,DB00480,gene_target
multiplemyeloma,DB01041,gene_target
multiplemyeloma,DB08910,gene_target
barrettesophagus,DB01050,gene_target
osteoporosis,DB00357,gene_target
osteoporosis,DB00514,gene_target
osteoporosis,DB00894,gene_target
osteoporosis,DB00990,gene_target
osteoporosis,DB01006,gene_target
osteoporosis,DB01217,gene_target
osteoporosis,DB07776,gene_target
osteoporosis,DB08905,gene_target
osteosarcoma,DB09065,gene_target
osteosarcoma,DB11672,gene_target
neuroblastoma,DB00822,gene_target
neuroblastoma,DB00988,gene_target
osteosarcoma,DB00205,gene_target
osteosarcoma,DB00233,gene_target
osteosarcoma,DB00440,gene_target
osteosarcoma,DB00563,gene_target
osteosarcoma,DB00642,gene_target
osteosarcoma,DB00650,gene_target
osteosarcoma,DB01131,gene_target
osteosarcoma,DB01157,gene_target
osteosarcoma,DB06813,gene_target
medulloblastoma,DB00928,gene_target
medulloblastoma,DB01262,gene_target
hyperprolactinemia,DB00246,gene_target
hyperprolactinemia,DB00248,gene_target
hyperprolactinemia,DB00268,gene_target
hyperprolactinemia,DB00298,gene_target
hyperprolactinemia,DB00320,gene_target
hyperprolactinemia,DB00334,gene_target
hyperprolactinemia,DB00363,gene_target
hyperprolactinemia,DB00372,gene_target
hyperprolactinemia,DB00388,gene_target
hyperprolactinemia,DB00391,gene_target
hyperprolactinemia,DB00408,gene_target
hyperprolactinemia,DB00409,gene_target
hyperprolactinemia,DB00413,gene_target
hyperprolactinemia,DB00420,gene_target
hyperprolactinemia,DB00433,gene_target
hyperprolactinemia,DB00450,gene_target
hyperprolactinemia,DB00477,gene_target
hyperprolactinemia,DB00490,gene_target
hyperprolactinemia,DB00502,gene_target
hyperprolactinemia,DB00508,gene_target
hyperprolactinemia,DB00589,gene_target
hyperprolactinemia,DB00610,gene_target
hyperprolactinemia,DB00623,gene_target
hyperprolactinemia,DB00662,gene_target
hyperprolactinemia,DB00679,gene_target
hyperprolactinemia,DB00692,gene_target
hyperprolactinemia,DB00714,gene_target
hyperprolactinemia,DB00734,gene_target
hyperprolactinemia,DB00797,gene_target
hyperprolactinemia,DB00831,gene_target
hyperprolactinemia,DB00850,gene_target
hyperprolactinemia,DB00852,gene_target
hyperprolactinemia,DB00875,gene_target
hyperprolactinemia,DB00915,gene_target
hyperprolactinemia,DB00925,gene_target
hyperprolactinemia,DB00933,gene_target
hyperprolactinemia,DB00968,gene_target
hyperprolactinemia,DB00988,gene_target
hyperprolactinemia,DB01063,gene_target
hyperprolactinemia,DB01100,gene_target
hyperprolactinemia,DB01184,gene_target
hyperprolactinemia,DB01186,gene_target
hyperprolactinemia,DB01200,gene_target
hyperprolactinemia,DB01224,gene_target
hyperprolactinemia,DB01233,gene_target
hyperprolactinemia,DB01235,gene_target
hyperprolactinemia,DB01238,gene_target
hyperprolactinemia,DB01239,gene_target
hyperprolactinemia,DB01253,gene_target
hyperprolactinemia,DB01267,gene_target
hyperprolactinemia,DB01364,gene_target
hyperprolactinemia,DB01365,gene_target
hyperprolactinemia,DB01403,gene_target
hyperprolactinemia,DB01577,gene_target
hyperprolactinemia,DB01618,gene_target
hyperprolactinemia,DB01621,gene_target
hyperprolactinemia,DB01623,gene_target
hyperprolactinemia,DB01624,gene_target
hyperprolactinemia,DB04821,gene_target
hyperprolactinemia,DB04842,gene_target
hyperprolactinemia,DB04946,gene_target
hyperprolactinemia,DB05271,gene_target
hyperprolactinemia,DB06016,gene_target
hyperprolactinemia,DB06077,gene_target
hyperprolactinemia,DB06144,gene_target
hyperprolactinemia,DB06216,gene_target
hyperprolactinemia,DB06288,gene_target
hyperprolactinemia,DB06711,gene_target
hyperprolactinemia,DB06808,gene_target
hyperprolactinemia,DB08815,gene_target
hyperprolactinemia,DB09097,gene_target
hyperprolactinemia,DB09225,gene_target
hyperprolactinemia,DB11160,gene_target
hyperprolactinemia,DB11274,gene_target
hyperprolactinemia,DB12313,gene_target
hyperprolactinemia,DB12710,gene_target
hyperprolactinemia,DB14185,gene_target
hyperprolactinemia,DB11275,gene_target
hyperprolactinemia,DB13345,gene_target
hirschsprungdisease,DB00559,gene_target
hirschsprungdisease,DB15059,gene_target
cholangiocarcinoma,DB00317,gene_target
cholangiocarcinoma,DB00398,gene_target
cholangiocarcinoma,DB00530,gene_target
cholangiocarcinoma,DB00727,gene_target
cholangiocarcinoma,DB01259,gene_target
cholangiocarcinoma,DB05294,gene_target
cholangiocarcinoma,DB08916,gene_target
cholangiocarcinoma,DB09330,gene_target
cholangiocarcinoma,DB11828,gene_target
cholangiocarcinoma,DB11963,gene_target
cholangiocarcinoma,DB12267,gene_target
cholangiocarcinoma,DB16216,gene_target
cholangiocarcinoma,DB16390,gene_target
osteosarcoma,DB00317,gene_target
osteosarcoma,DB00398,gene_target
osteosarcoma,DB00530,gene_target
osteosarcoma,DB00727,gene_target
osteosarcoma,DB01259,gene_target
osteosarcoma,DB05294,gene_target
osteosarcoma,DB08916,gene_target
osteosarcoma,DB09330,gene_target
osteosarcoma,DB11828,gene_target
osteosarcoma,DB11963,gene_target
osteosarcoma,DB12267,gene_target
osteosarcoma,DB16216,gene_target
osteosarcoma,DB16390,gene_target
malaria,DB01254,gene_target
malaria,DB08896,gene_target
noonansyndrome,DB01254,gene_target
cholangiocarcinoma,DB00179,gene_target
cholangiocarcinoma,DB11652,gene_target
glioma,DB00179,gene_target
glioma,DB01259,gene_target
glioma,DB08916,gene_target
glioma,DB11652,gene_target
glioma,DB11828,gene_target
glioma,DB11963,gene_target
medulloblastoma,DB00179,gene_target
