drug,similar_drug,similarity,drug_name,similar_name
DB00411,DB00202,0.625,Carbamoylcholine,Succinylcholine
DB00206,DB01089,0.844,Reserpine,Deserpidine
DB01089,DB00206,0.844,Deserpidine,Reserpine
DB00206,DB01180,0.805,Reserpine,Rescinnamine
DB01180,DB00206,0.805,Rescinnamine,Reserpine
DB00215,DB01175,1.0,Citalopram,Escitalopram
DB01175,DB00215,1.0,Escitalopram,Citalopram
DB00223,DB00443,0.714,Diflorasone,Betamethasone
DB00443,DB00223,0.714,Betamethasone,Diflorasone
DB00223,DB00591,0.662,Diflorasone,Fluocinolone acetonide
DB00591,DB00223,0.662,Fluocinolone acetonide,Diflorasone
DB00223,DB00596,0.847,Diflorasone,Ulobetasol
DB00596,DB00223,0.847,Ulobetasol,Diflorasone
DB00223,DB00620,0.606,Diflorasone,Triamcinolone
DB00620,DB00223,0.606,Triamcinolone,Diflorasone
DB00223,DB00663,1.0,Diflorasone,Flumethasone
DB00663,DB00223,1.0,Flumethasone,Diflorasone
DB00223,DB01234,0.714,Diflorasone,Dexamethasone
DB01234,DB00223,0.714,Dexamethasone,Diflorasone
DB00223,DB09095,0.621,Diflorasone,Difluocortolone
DB09095,DB00223,0.621,Difluocortolone,Diflorasone
DB00223,DB11750,0.603,Diflorasone,Clobetasol
DB11750,DB00223,0.603,Clobetasol,Diflorasone
DB00223,DB13867,0.762,Diflorasone,Fluticasone
DB13867,DB00223,0.762,Fluticasone,Diflorasone
DB00227,DB00641,0.742,Lovastatin,Simvastatin
DB00641,DB00227,0.742,Simvastatin,Lovastatin
DB00231,DB13872,0.761,Temazepam,Lormetazepam
DB13872,DB00231,0.761,Lormetazepam,Temazepam
DB00233,DB00244,0.692,Aminosalicylic acid,Mesalazine
DB00244,DB00233,0.692,Mesalazine,Aminosalicylic acid
DB00237,DB00306,0.645,Butabarbital,Talbutal
DB00306,DB00237,0.645,Talbutal,Butabarbital
DB00237,DB00312,0.714,Butabarbital,Pentobarbital
DB00312,DB00237,0.714,Pentobarbital,Butabarbital
DB00242,DB00631,0.618,Cladribine,Clofarabine
DB00631,DB00242,0.618,Clofarabine,Cladribine
DB00245,DB01146,0.629,Benzatropine,Diphenylpyraline
DB01146,DB00245,0.629,Diphenylpyraline,Benzatropine
DB00247,DB00353,0.723,Methysergide,Methylergometrine
DB00353,DB00247,0.723,Methylergometrine,Methysergide
DB00264,DB00335,0.622,Metoprolol,Atenolol
DB00335,DB00264,0.622,Atenolol,Metoprolol
DB00264,DB00612,0.617,Metoprolol,Bisoprolol
DB00612,DB00264,0.617,Bisoprolol,Metoprolol
DB00264,DB09351,0.681,Metoprolol,Levobetaxolol
DB09351,DB00264,0.681,Levobetaxolol,Metoprolol
DB00277,DB01223,0.839,Theophylline,Aminophylline
DB01223,DB00277,0.839,Aminophylline,Theophylline
DB00279,DB00451,0.744,Liothyronine,Levothyroxine
DB00451,DB00279,0.744,Levothyroxine,Liothyronine
DB00279,DB00509,0.744,Liothyronine,Dextrothyroxine
DB00509,DB00279,0.744,Dextrothyroxine,Liothyronine
DB00279,DB01583,0.714,Liothyronine,Liotrix
DB01583,DB00279,0.714,Liotrix,Liothyronine
DB00282,DB00630,0.727,Pamidronic acid,Alendronic acid
DB00630,DB00282,0.727,Alendronic acid,Pamidronic acid
DB00285,DB06700,0.718,Venlafaxine,Desvenlafaxine
DB06700,DB00285,0.718,Desvenlafaxine,Venlafaxine
DB00287,DB08819,0.636,Travoprost,Tafluprost
DB08819,DB00287,0.636,Tafluprost,Travoprost
DB00288,DB01047,0.658,Amcinonide,Fluocinonide
