drug,similar_drug,similarity,drug_name,similar_name
DB01125,DB00498,0.607,Anisindione,Phenindione
DB00504,DB00854,0.686,Levallorphan,Levorphanol
DB00854,DB00504,0.686,Levorphanol,Levallorphan
DB00508,DB00623,0.623,Triflupromazine,Fluphenazine
DB00623,DB00508,0.623,Fluphenazine,Triflupromazine
DB00508,DB00831,0.667,Triflupromazine,Trifluoperazine
DB00831,DB00508,0.667,Trifluoperazine,Triflupromazine
DB00509,DB01583,0.653,Dextrothyroxine,Liotrix
DB01583,DB00509,0.653,Liotrix,Dextrothyroxine
DB00511,DB01078,0.604,Acetyldigitoxin,Deslanoside
DB01078,DB00511,0.604,Deslanoside,Acetyldigitoxin
DB00511,DB01396,0.846,Acetyldigitoxin,Digitoxin
DB01396,DB00511,0.846,Digitoxin,Acetyldigitoxin
DB00513,DB00548,0.706,Aminocaproic acid,Azelaic acid
DB00548,DB00513,0.706,Azelaic acid,Aminocaproic acid
DB00513,DB02530,0.778,Aminocaproic acid,gamma-Aminobutyric acid
DB02530,DB00513,0.778,gamma-Aminobutyric acid,Aminocaproic acid
DB00514,DB00854,0.708,Dextromethorphan,Levorphanol
DB00854,DB00514,0.708,Levorphanol,Dextromethorphan
DB00519,DB00584,0.677,Trandolapril,Enalapril
DB00584,DB00519,0.677,Enalapril,Trandolapril
DB00519,DB00790,0.789,Trandolapril,Perindopril
DB00790,DB00519,0.789,Perindopril,Trandolapril
DB00519,DB00881,0.606,Trandolapril,Quinapril
DB00881,DB00519,0.606,Quinapril,Trandolapril
DB00521,DB01210,0.618,Carteolol,Levobunolol
DB01210,DB00521,0.618,Levobunolol,Carteolol
DB00523,DB00755,1.0,Alitretinoin,Tretinoin
DB00755,DB00523,1.0,Tretinoin,Alitretinoin
DB00528,DB00622,0.605,Lercanidipine,Nicardipine
DB00622,DB00528,0.605,Nicardipine,Lercanidipine
DB00539,DB00675,0.738,Toremifene,Tamoxifen
DB00675,DB00539,0.738,Tamoxifen,Toremifene
DB00539,DB04938,0.714,Toremifene,Ospemifene
DB04938,DB00539,0.714,Ospemifene,Toremifene
DB00541,DB00570,0.883,Vincristine,Vinblastine
DB00570,DB00541,0.883,Vinblastine,Vincristine
DB00541,DB11641,0.684,Vincristine,Vinflunine
DB11641,DB00541,0.684,Vinflunine,Vincristine
DB00547,DB00620,0.615,Desoximetasone,Triamcinolone
DB00620,DB00547,0.615,Triamcinolone,Desoximetasone
DB00547,DB00838,0.606,Desoximetasone,Clocortolone
DB00838,DB00547,0.606,Clocortolone,Desoximetasone
DB00547,DB01234,0.621,Desoximetasone,Dexamethasone
DB01234,DB00547,0.621,Dexamethasone,Desoximetasone
DB00547,DB09095,0.71,Desoximetasone,Difluocortolone
DB09095,DB00547,0.71,Difluocortolone,Desoximetasone
DB00548,DB01440,0.625,Azelaic acid,gamma-Hydroxybutyric acid
DB01440,DB00548,0.625,gamma-Hydroxybutyric acid,Azelaic acid
DB00548,DB03017,0.706,Azelaic acid,Lauric acid
DB03017,DB00548,0.706,Lauric acid,Azelaic acid
DB00548,DB03796,0.706,Azelaic acid,Palmitic Acid
DB03796,DB00548,0.706,Palmitic Acid,Azelaic acid
DB00548,DB11117,0.6,Azelaic acid,Undecylenic acid
DB11117,DB00548,0.6,Undecylenic acid,Azelaic acid
DB00554,DB00814,0.63,Piroxicam,Meloxicam
DB00814,DB00554,0.63,Meloxicam,Piroxicam
DB00554,DB06725,0.655,Piroxicam,Lornoxicam
DB06725,DB00554,0.655,Lornoxicam,Piroxicam
DB00557,DB06282,0.745,Hydroxyzine,Levocetirizine
DB06282,DB00557,0.745,Levocetirizine,Hydroxyzine
DB00563,DB06813,0.653,Methotrexate,Pralatrexate
DB06813,DB00563,0.653,Pralatrexate,Methotrexate
DB00565,DB00732,0.81,Cisatracurium,Atracurium besylate
DB00732,DB00565,0.81,Atracurium besylate,Cisatracurium
DB00565,DB01226,0.683,Cisatracurium,Mivacurium
DB01226,DB00565,0.683,Mivacurium,Cisatracurium
DB00568,DB04841,0.816,Cinnarizine,Flunarizine
DB04841,DB00568,0.816,Flunarizine,Cinnarizine
DB00570,DB11641,0.773,Vinblastine,Vinflunine
DB11641,DB00570,0.773,Vinflunine,Vinblastine
DB00571,DB00960,0.644,Propranolol,Pindolol
DB00960,DB00571,0.644,Pindolol,Propranolol
DB00571,DB01580,0.614,Propranolol,Oxprenolol
DB01580,DB00571,0.614,Oxprenolol,Propranolol
DB00572,DB00747,0.681,Atropine,Scopolamine
DB00747,DB00572,0.681,Scopolamine,Atropine
DB00572,DB11181,0.698,Atropine,Homatropine
DB11181,DB00572,0.698,Homatropine,Atropine
DB00572,DB11315,0.6,Atropine,Methscopolamine
DB11315,DB00572,0.6,Methscopolamine,Atropine
DB00574,DB01191,1.0,Fenfluramine,Dexfenfluramine
DB01191,DB00574,1.0,Dexfenfluramine,Fenfluramine
DB00575,DB00964,0.657,Clonidine,Apraclonidine
DB00964,DB00575,0.657,Apraclonidine,Clonidine
DB00580,DB08439,0.612,Valdecoxib,Parecoxib
DB08439,DB00580,0.612,Parecoxib,Valdecoxib
DB00584,DB00691,0.636,Enalapril,Moexipril
DB00691,DB00584,0.636,Moexipril,Enalapril
DB00584,DB00881,0.7,Enalapril,Quinapril
DB00881,DB00584,0.7,Quinapril,Enalapril
DB00584,DB01348,0.656,Enalapril,Spirapril
DB01348,DB00584,0.656,Spirapril,Enalapril
DB00584,DB09477,0.811,Enalapril,Enalaprilat
DB09477,DB00584,0.811,Enalaprilat,Enalapril
DB00586,DB06736,0.725,Diclofenac,Aceclofenac
DB06736,DB00586,0.725,Aceclofenac,Diclofenac
DB00588,DB08906,0.753,Fluticasone propionate,Fluticasone furoate
DB08906,DB00588,0.753,Fluticasone furoate,Fluticasone propionate
DB00588,DB13867,0.729,Fluticasone propionate,Fluticasone
DB13867,DB00588,0.729,Fluticasone,Fluticasone propionate
DB00590,DB01162,0.652,Doxazosin,Terazosin
DB01162,DB00590,0.652,Terazosin,Doxazosin
DB00591,DB00663,0.662,Fluocinolone acetonide,Flumethasone
DB00663,DB00591,0.662,Flumethasone,Fluocinolone acetonide
DB00591,DB01047,0.809,Fluocinolone acetonide,Fluocinonide
DB01047,DB00591,0.809,Fluocinonide,Fluocinolone acetonide
DB00596,DB00663,0.847,Ulobetasol,Flumethasone
DB00663,DB00596,0.847,Flumethasone,Ulobetasol
DB00596,DB01234,0.603,Ulobetasol,Dexamethasone
DB01234,DB00596,0.603,Dexamethasone,Ulobetasol
DB00596,DB11750,0.719,Ulobetasol,Clobetasol
DB11750,DB00596,0.719,Clobetasol,Ulobetasol
DB00596,DB13867,0.75,Ulobetasol,Fluticasone
DB13867,DB00596,0.75,Fluticasone,Ulobetasol
DB00599,DB01154,0.706,Thiopental,Thiamylal
DB01154,DB00599,0.706,Thiamylal,Thiopental
DB00608,DB01611,0.86,Chloroquine,Hydroxychloroquine
DB01611,DB00608,0.86,Hydroxychloroquine,Chloroquine
DB00620,DB00663,0.606,Triamcinolone,Flumethasone
DB00663,DB00620,0.606,Flumethasone,Triamcinolone
DB00620,DB01234,0.86,Triamcinolone,Dexamethasone
DB01234,DB00620,0.86,Dexamethasone,Triamcinolone
DB00620,DB11750,0.726,Triamcinolone,Clobetasol
DB11750,DB00620,0.726,Clobetasol,Triamcinolone
DB00620,DB14649,0.682,Triamcinolone,Dexamethasone acetate
DB14649,DB00620,0.682,Dexamethasone acetate,Triamcinolone
DB00620,DB14669,0.662,Triamcinolone,Betamethasone phosphate
DB14669,DB00620,0.662,Betamethasone phosphate,Triamcinolone
DB00622,DB01054,0.689,Nicardipine,Nitrendipine
DB01054,DB00622,0.689,Nitrendipine,Nicardipine
DB00622,DB09238,0.613,Nicardipine,Manidipine
DB09238,DB00622,0.613,Manidipine,Nicardipine
DB00623,DB00831,0.816,Fluphenazine,Trifluoperazine
DB00831,DB00623,0.816,Trifluoperazine,Fluphenazine
DB00623,DB00850,0.706,Fluphenazine,Perphenazine
DB00850,DB00623,0.706,Perphenazine,Fluphenazine
DB00623,DB01063,0.655,Fluphenazine,Acetophenazine
DB01063,DB00623,0.655,Acetophenazine,Fluphenazine
DB00624,DB01420,0.642,Testosterone,Testosterone propionate
DB01420,DB00624,0.642,Testosterone propionate,Testosterone
DB00624,DB06710,0.638,Testosterone,Methyltestosterone
DB06710,DB00624,0.638,Methyltestosterone,Testosterone
DB00624,DB13944,0.603,Testosterone,Testosterone enanthate
DB13944,DB00624,0.603,Testosterone enanthate,Testosterone
DB00624,DB13946,0.603,Testosterone,Testosterone undecanoate
DB13946,DB00624,0.603,Testosterone undecanoate,Testosterone
DB00627,DB02701,0.654,Niacin,Nicotinamide
DB02701,DB00627,0.654,Nicotinamide,Niacin
DB00628,DB00842,0.733,Clorazepic acid,Oxazepam
DB00842,DB00628,0.733,Oxazepam,Clorazepic acid
DB00631,DB01073,0.642,Clofarabine,Fludarabine
DB01073,DB00631,0.642,Fludarabine,Clofarabine
DB00635,DB00860,0.683,Prednisone,Prednisolone
DB00860,DB00635,0.683,Prednisolone,Prednisone
DB00635,DB09383,0.7,Prednisone,Meprednisone
DB09383,DB00635,0.7,Meprednisone,Prednisone
DB00640,DB01073,0.688,Adenosine,Fludarabine
DB01073,DB00640,0.688,Fludarabine,Adenosine
DB00651,DB09092,0.702,Dyphylline,Xanthinol
DB09092,DB00651,0.702,Xanthinol,Dyphylline
DB00653,DB09472,0.75,Magnesium sulfate,Sodium sulfate
DB09472,DB00653,0.75,Sodium sulfate,Magnesium sulfate
DB00653,DB13257,0.75,Magnesium sulfate,Ferrous sulfate anhydrous
DB13257,DB00653,0.75,Ferrous sulfate anhydrous,Magnesium sulfate
DB00654,DB11660,0.686,Latanoprost,Latanoprostene bunod
DB11660,DB00654,0.686,Latanoprostene bunod,Latanoprost
DB00655,DB00783,0.625,Estrone,Estradiol
DB00783,DB00655,0.625,Estradiol,Estrone
DB00655,DB04573,0.612,Estrone,Estriol
DB04573,DB00655,0.612,Estriol,Estrone
DB00655,DB04574,0.7,Estrone,Estrone sulfate
DB04574,DB00655,0.7,Estrone sulfate,Estrone
DB00663,DB01234,0.714,Flumethasone,Dexamethasone
DB01234,DB00663,0.714,Dexamethasone,Flumethasone
DB00663,DB09095,0.621,Flumethasone,Difluocortolone
DB09095,DB00663,0.621,Difluocortolone,Flumethasone
DB00663,DB11750,0.603,Flumethasone,Clobetasol
DB11750,DB00663,0.603,Clobetasol,Flumethasone
DB00663,DB13867,0.762,Flumethasone,Fluticasone
DB13867,DB00663,0.762,Fluticasone,Flumethasone
DB00666,DB06788,0.766,Nafarelin,Histrelin
DB06788,DB00666,0.766,Histrelin,Nafarelin
DB00666,DB06825,0.932,Nafarelin,Triptorelin
DB06825,DB00666,0.932,Triptorelin,Nafarelin
DB00668,DB01064,0.688,Epinephrine,Isoprenaline
DB01064,DB00668,0.688,Isoprenaline,Epinephrine
DB00669,DB00918,0.654,Sumatriptan,Almotriptan
DB00918,DB00669,0.654,Almotriptan,Sumatriptan
DB00672,DB01124,0.625,Chlorpropamide,Tolbutamide
DB01124,DB00672,0.625,Tolbutamide,Chlorpropamide
DB00673,DB06717,0.711,Aprepitant,Fosaprepitant
DB06717,DB00673,0.711,Fosaprepitant,Aprepitant
DB00674,DB19353,0.672,Galantamine,Benzgalantamine
DB19353,DB00674,0.672,Benzgalantamine,Galantamine
DB00679,DB00933,0.696,Thioridazine,Mesoridazine
DB00933,DB00679,0.696,Mesoridazine,Thioridazine
DB00682,DB00946,0.732,Warfarin,Phenprocoumon
DB00946,DB00682,0.732,Phenprocoumon,Warfarin
DB00682,DB01418,0.766,Warfarin,Acenocoumarol
DB01418,DB00682,0.766,Acenocoumarol,Warfarin
DB00687,DB01185,0.727,Fludrocortisone,Fluoxymesterone
DB01185,DB00687,0.727,Fluoxymesterone,Fludrocortisone
DB00688,DB01024,0.656,Mycophenolate mofetil,Mycophenolic acid
DB01024,DB00688,0.656,Mycophenolic acid,Mycophenolate mofetil
DB00691,DB00881,0.803,Moexipril,Quinapril
DB00881,DB00691,0.803,Quinapril,Moexipril
DB00694,DB00997,0.853,Daunorubicin,Doxorubicin
DB00997,DB00694,0.853,Doxorubicin,Daunorubicin
DB00694,DB01177,0.829,Daunorubicin,Idarubicin
DB01177,DB00694,0.829,Idarubicin,Daunorubicin
DB00704,DB00844,0.631,Naltrexone,Nalbuphine
DB00844,DB00704,0.631,Nalbuphine,Naltrexone
DB00704,DB01183,0.754,Naltrexone,Naloxone
DB01183,DB00704,0.754,Naloxone,Naltrexone
DB00704,DB01192,0.712,Naltrexone,Oxymorphone
DB01192,DB00704,0.712,Oxymorphone,Naltrexone
DB00704,DB06230,0.797,Naltrexone,Nalmefene
DB06230,DB00704,0.797,Nalmefene,Naltrexone
DB00704,DB06800,0.612,Naltrexone,Methylnaltrexone
DB06800,DB00704,0.612,Methylnaltrexone,Naltrexone
DB00708,DB00802,0.615,Sufentanil,Alfentanil
DB00802,DB00708,0.615,Alfentanil,Sufentanil
DB00717,DB09389,0.717,Norethisterone,Norgestrel
DB09389,DB00717,0.717,Norgestrel,Norethisterone
DB00721,DB00807,0.614,Procaine,Proparacaine
DB00807,DB00721,0.614,Proparacaine,Procaine
DB00721,DB00892,0.6,Procaine,Oxybuprocaine
DB00892,DB00721,0.6,Oxybuprocaine,Procaine
DB00721,DB01086,0.618,Procaine,Benzocaine
DB01086,DB00721,0.618,Benzocaine,Procaine
DB00721,DB01161,0.619,Procaine,Chloroprocaine
DB01161,DB00721,0.619,Chloroprocaine,Procaine
DB00721,DB11148,0.639,Procaine,Butamben
DB11148,DB00721,0.639,Butamben,Procaine
DB00722,DB09477,0.702,Lisinopril,Enalaprilat
DB09477,DB00722,0.702,Enalaprilat,Lisinopril
DB00725,DB11181,0.636,Homatropine methylbromide,Homatropine
DB11181,DB00725,0.636,Homatropine,Homatropine methylbromide
DB00726,DB01246,0.632,Trimipramine,Alimemazine
DB01246,DB00726,0.632,Alimemazine,Trimipramine
DB00727,DB01613,0.652,Nitroglycerin,Erythrityl tetranitrate
DB01613,DB00727,0.652,Erythrityl tetranitrate,Nitroglycerin
DB00728,DB04834,0.687,Rocuronium,Rapacuronium
DB04834,DB00728,0.687,Rapacuronium,Rocuronium
DB00734,DB01267,0.746,Risperidone,Paliperidone
DB01267,DB00734,0.746,Paliperidone,Risperidone
DB00741,DB00769,0.697,Hydrocortisone,Hydrocortamate
DB00769,DB00741,0.697,Hydrocortamate,Hydrocortisone
DB00741,DB00860,0.683,Hydrocortisone,Prednisolone
DB00860,DB00741,0.683,Prednisolone,Hydrocortisone
DB00741,DB09091,0.836,Hydrocortisone,Tixocortol
DB09091,DB00741,0.836,Tixocortol,Hydrocortisone
DB00741,DB14539,0.78,Hydrocortisone,Hydrocortisone acetate
DB14539,DB00741,0.78,Hydrocortisone acetate,Hydrocortisone
DB00741,DB14540,0.677,Hydrocortisone,Hydrocortisone butyrate
DB14540,DB00741,0.677,Hydrocortisone butyrate,Hydrocortisone
DB00741,DB14541,0.687,Hydrocortisone,Hydrocortisone cypionate
DB14541,DB00741,0.687,Hydrocortisone cypionate,Hydrocortisone
DB00741,DB14542,0.754,Hydrocortisone,Hydrocortisone phosphate
DB14542,DB00741,0.754,Hydrocortisone phosphate,Hydrocortisone
DB00741,DB14544,0.667,Hydrocortisone,Hydrocortisone valerate
DB14544,DB00741,0.667,Hydrocortisone valerate,Hydrocortisone
DB00745,DB06413,1.0,Modafinil,Armodafinil
DB06413,DB00745,1.0,Armodafinil,Modafinil
DB00747,DB09300,0.607,Scopolamine,Butylscopolamine
DB09300,DB00747,0.607,Butylscopolamine,Scopolamine
DB00747,DB11315,0.694,Scopolamine,Methscopolamine
DB11315,DB00747,0.694,Methscopolamine,Scopolamine
DB00748,DB01114,0.622,Carbinoxamine,Chlorpheniramine
DB01114,DB00748,0.622,Chlorpheniramine,Carbinoxamine
DB00757,DB11699,0.647,Dolasetron,Tropisetron
DB11699,DB00757,0.647,Tropisetron,Dolasetron
DB00765,DB00968,0.667,Metyrosine,Methyldopa
DB00968,DB00765,0.667,Methyldopa,Metyrosine
DB00768,DB01142,0.66,Olopatadine,Doxepin
DB01142,DB00768,0.66,Doxepin,Olopatadine
DB00769,DB09091,0.687,Hydrocortamate,Tixocortol
DB09091,DB00769,0.687,Tixocortol,Hydrocortamate
DB00769,DB14539,0.773,Hydrocortamate,Hydrocortisone acetate
DB14539,DB00769,0.773,Hydrocortisone acetate,Hydrocortamate
DB00769,DB14541,0.736,Hydrocortamate,Hydrocortisone cypionate
DB14541,DB00769,0.736,Hydrocortisone cypionate,Hydrocortamate
DB00769,DB14542,0.7,Hydrocortamate,Hydrocortisone phosphate
DB14542,DB00769,0.7,Hydrocortisone phosphate,Hydrocortamate
DB00769,DB14543,0.623,Hydrocortamate,Hydrocortisone probutate
DB14543,DB00769,0.623,Hydrocortisone probutate,Hydrocortamate
DB00770,DB00917,0.727,Alprostadil,Dinoprostone
DB00917,DB00770,0.727,Dinoprostone,Alprostadil
DB00774,DB00999,0.651,Hydroflumethiazide,Hydrochlorothiazide
DB00999,DB00774,0.651,Hydrochlorothiazide,Hydroflumethiazide
DB00777,DB01069,0.659,Propiomazine,Promethazine
DB01069,DB00777,0.659,Promethazine,Propiomazine
DB00782,DB00940,0.711,Propantheline,Methantheline
DB00940,DB00782,0.711,Methantheline,Propantheline
DB00783,DB04573,0.717,Estradiol,Estriol
DB04573,DB00783,0.717,Estriol,Estradiol
DB00783,DB12235,0.674,Estradiol,Estetrol
DB12235,DB00783,0.674,Estetrol,Estradiol
DB00783,DB13952,0.686,Estradiol,Estradiol acetate
DB13952,DB00783,0.686,Estradiol acetate,Estradiol
DB00783,DB13953,0.625,Estradiol,Estradiol benzoate
DB13953,DB00783,0.625,Estradiol benzoate,Estradiol
DB00783,DB13956,0.614,Estradiol,Estradiol valerate
DB13956,DB00783,0.614,Estradiol valerate,Estradiol
DB00784,DB09216,0.714,Mefenamic acid,Tolfenamic acid
DB09216,DB00784,0.714,Tolfenamic acid,Mefenamic acid
DB00792,DB06691,0.744,Tripelennamine,Mepyramine
DB06691,DB00792,0.744,Mepyramine,Tripelennamine
DB00794,DB01174,0.677,Primidone,Phenobarbital
DB01174,DB00794,0.677,Phenobarbital,Primidone
DB00797,DB08799,0.6,Tolazoline,Antazoline
DB08799,DB00797,0.6,Antazoline,Tolazoline
DB00801,DB00829,0.64,Halazepam,Diazepam
DB00829,DB00801,0.64,Diazepam,Halazepam
DB00801,DB01588,0.692,Halazepam,Prazepam
DB01588,DB00801,0.692,Prazepam,Halazepam
DB00807,DB00892,0.723,Proparacaine,Oxybuprocaine
DB00892,DB00807,0.723,Oxybuprocaine,Proparacaine
DB00807,DB09342,0.633,Proparacaine,Propoxycaine
DB09342,DB00807,0.633,Propoxycaine,Proparacaine
DB00810,DB00942,0.609,Biperiden,Cycrimine
DB00942,DB00810,0.609,Cycrimine,Biperiden
DB00812,DB03585,0.824,Phenylbutazone,Oxyphenbutazone
DB03585,DB00812,0.824,Oxyphenbutazone,Phenylbutazone
DB00816,DB01064,0.606,Orciprenaline,Isoprenaline
DB01064,DB00816,0.606,Isoprenaline,Orciprenaline
DB00816,DB01288,0.611,Orciprenaline,Fenoterol
DB01288,DB00816,0.611,Fenoterol,Orciprenaline
DB00829,DB01588,0.64,Diazepam,Prazepam
DB01588,DB00829,0.64,Prazepam,Diazepam
DB00831,DB12710,0.727,Trifluoperazine,Perazine
DB12710,DB00831,0.727,Perazine,Trifluoperazine
DB00834,DB08867,0.731,Mifepristone,Ulipristal
DB08867,DB00834,0.731,Ulipristal,Mifepristone
DB00835,DB01114,0.75,Brompheniramine,Chlorpheniramine
DB01114,DB00835,0.75,Chlorpheniramine,Brompheniramine
DB00835,DB01620,0.806,Brompheniramine,Pheniramine
DB01620,DB00835,0.806,Pheniramine,Brompheniramine
DB00835,DB09555,0.625,Brompheniramine,Dexchlorpheniramine maleate
DB09555,DB00835,0.625,Dexchlorpheniramine maleate,Brompheniramine
DB00838,DB09095,0.797,Clocortolone,Difluocortolone
DB09095,DB00838,0.797,Difluocortolone,Clocortolone
DB00839,DB01120,0.667,Tolazamide,Gliclazide
DB01120,DB00839,0.667,Gliclazide,Tolazamide
DB00844,DB06230,0.631,Nalbuphine,Nalmefene
DB06230,DB00844,0.631,Nalmefene,Nalbuphine
DB00849,DB01174,0.618,Methylphenobarbital,Phenobarbital
DB01174,DB00849,0.618,Phenobarbital,Methylphenobarbital
DB00850,DB01063,0.692,Perphenazine,Acetophenazine
DB01063,DB00850,0.692,Acetophenazine,Perphenazine
DB00850,DB12710,0.609,Perphenazine,Perazine
DB12710,DB00850,0.609,Perazine,Perphenazine
DB00852,DB01364,1.0,Pseudoephedrine,Ephedrine
DB01364,DB00852,1.0,Ephedrine,Pseudoephedrine
DB00860,DB00896,0.609,Prednisolone,Rimexolone
DB00896,DB00860,0.609,Rimexolone,Prednisolone
DB00860,DB00959,0.705,Prednisolone,Methylprednisolone
DB00959,DB00860,0.705,Methylprednisolone,Prednisolone
DB00860,DB01260,0.627,Prednisolone,Desonide
DB01260,DB00860,0.627,Desonide,Prednisolone
DB00860,DB14631,0.758,Prednisolone,Prednisolone phosphate
DB14631,DB00860,0.758,Prednisolone phosphate,Prednisolone
DB00860,DB15566,0.783,Prednisolone,Prednisolone acetate
DB15566,DB00860,0.783,Prednisolone acetate,Prednisolone
DB00865,DB01037,0.625,Benzphetamine,Selegiline
DB01037,DB00865,0.625,Selegiline,Benzphetamine
DB00871,DB01407,0.6,Terbutaline,Clenbuterol
DB01407,DB00871,0.6,Clenbuterol,Terbutaline
DB14596,DB01130,0.75,Loteprednol etabonate,Prednicarbate
DB01130,DB14596,0.75,Prednicarbate,Loteprednol etabonate
DB00875,DB01624,0.717,Flupentixol,Zuclopenthixol
DB01624,DB00875,0.717,Zuclopenthixol,Flupentixol
DB00877,DB01590,0.873,Sirolimus,Everolimus
DB01590,DB00877,0.873,Everolimus,Sirolimus
DB00877,DB06287,0.842,Sirolimus,Temsirolimus
DB06287,DB00877,0.842,Temsirolimus,Sirolimus
DB00881,DB01348,0.636,Quinapril,Spirapril
DB01348,DB00881,0.636,Spirapril,Quinapril
DB00883,DB01020,0.778,Isosorbide dinitrate,Isosorbide mononitrate
DB01020,DB00883,0.778,Isosorbide mononitrate,Isosorbide dinitrate
DB00908,DB01346,0.72,Quinidine,Quinidine barbiturate
DB01346,DB00908,0.72,Quinidine barbiturate,Quinidine
DB00917,DB12789,0.667,Dinoprostone,Dinoprost
DB12789,DB00917,0.667,Dinoprost,Dinoprostone
DB00928,DB00987,0.644,Azacitidine,Cytarabine
DB00987,DB00928,0.644,Cytarabine,Azacitidine
DB00928,DB01262,0.617,Azacitidine,Decitabine
DB01262,DB00928,0.617,Decitabine,Azacitidine
DB00935,DB06694,0.643,Oxymetazoline,Xylometazoline
DB06694,DB00935,0.643,Xylometazoline,Oxymetazoline
DB00936,DB01399,0.607,Salicylic acid,Salsalate
DB01399,DB00936,0.607,Salsalate,Salicylic acid
DB00936,DB11079,0.667,Salicylic acid,Trolamine salicylate
DB11079,DB00936,0.667,Trolamine salicylate,Salicylic acid
DB00938,DB09082,0.678,Salmeterol,Vilanterol
DB09082,DB00938,0.678,Vilanterol,Salmeterol
DB00944,DB01400,0.692,Demecarium,Neostigmine
DB01400,DB00944,0.692,Neostigmine,Demecarium
DB00956,DB01551,0.65,Hydrocodone,Dihydrocodeine
DB01551,DB00956,0.65,Dihydrocodeine,Hydrocodone
DB00957,DB06713,0.694,Norgestimate,Norelgestromin
DB06713,DB00957,0.694,Norelgestromin,Norgestimate
DB00961,DB01002,0.689,Mepivacaine,Levobupivacaine
DB01002,DB00961,0.689,Levobupivacaine,Mepivacaine
DB00963,DB06802,0.625,Bromfenac,Nepafenac
DB06802,DB00963,0.625,Nepafenac,Bromfenac
DB00977,DB01357,0.765,Ethinylestradiol,Mestranol
DB01357,DB00977,0.765,Mestranol,Ethinylestradiol
DB00977,DB04575,0.709,Ethinylestradiol,Quinestrol
DB04575,DB00977,0.709,Quinestrol,Ethinylestradiol
DB00983,DB01274,1.0,Formoterol,Arformoterol
DB01274,DB00983,1.0,Arformoterol,Formoterol
DB00984,DB08804,0.719,Nandrolone phenpropionate,Nandrolone decanoate
DB08804,DB00984,0.719,Nandrolone decanoate,Nandrolone phenpropionate
DB00986,DB04843,0.638,Glycopyrronium,Mepenzolate
DB04843,DB00986,0.638,Mepenzolate,Glycopyrronium
DB00986,DB19325,0.685,Glycopyrronium,Sofpironium
DB19325,DB00986,0.685,Sofpironium,Glycopyrronium
DB00997,DB01177,0.701,Doxorubicin,Idarubicin
DB01177,DB00997,0.701,Idarubicin,Doxorubicin
DB01001,DB13139,1.0,Albuterol,Levosalbutamol
DB13139,DB01001,1.0,Levosalbutamol,Albuterol
DB01013,DB01234,0.634,Clobetasol propionate,Dexamethasone
DB01234,DB01013,0.634,Dexamethasone,Clobetasol propionate
DB01013,DB11750,0.721,Clobetasol propionate,Clobetasol
DB11750,DB01013,0.721,Clobetasol,Clobetasol propionate
DB01013,DB14512,0.605,Clobetasol propionate,Mometasone furoate
DB14512,DB01013,0.605,Mometasone furoate,Clobetasol propionate
DB01013,DB14649,0.613,Clobetasol propionate,Dexamethasone acetate
DB14649,DB01013,0.613,Dexamethasone acetate,Clobetasol propionate
DB01019,DB06709,0.654,Bethanechol,Methacholine
DB06709,DB01019,0.654,Methacholine,Bethanechol
DB01023,DB04920,0.78,Felodipine,Clevidipine
DB04920,DB01023,0.78,Clevidipine,Felodipine
DB01023,DB09237,0.614,Felodipine,Levamlodipine
DB09237,DB01023,0.614,Levamlodipine,Felodipine
DB01026,DB05667,1.0,Ketoconazole,Levoketoconazole
DB05667,DB01026,1.0,Levoketoconazole,Ketoconazole
DB01039,DB13873,0.667,Fenofibrate,Fenofibric acid
DB13873,DB01039,0.667,Fenofibric acid,Fenofibrate
DB01041,DB08910,0.737,Thalidomide,Pomalidomide
DB08910,DB01041,0.737,Pomalidomide,Thalidomide
DB01050,DB09213,1.0,Ibuprofen,Dexibuprofen
DB09213,DB01050,1.0,Dexibuprofen,Ibuprofen
DB01054,DB06712,0.633,Nitrendipine,Nilvadipine
DB06712,DB01054,0.633,Nilvadipine,Nitrendipine
DB01054,DB09238,0.636,Nitrendipine,Manidipine
DB09238,DB01054,0.636,Manidipine,Nitrendipine
DB01063,DB06808,0.782,Acetophenazine,Piperacetazine
DB06808,DB01063,0.782,Piperacetazine,Acetophenazine
DB01065,DB06594,0.604,Melatonin,Agomelatine
DB06594,DB01065,0.604,Agomelatine,Melatonin
DB01068,DB01595,0.729,Clonazepam,Nitrazepam
DB01595,DB01068,0.729,Nitrazepam,Clonazepam
DB01069,DB01246,0.667,Promethazine,Alimemazine
DB01246,DB01069,0.667,Alimemazine,Promethazine
DB01073,DB01280,0.611,Fludarabine,Nelarabine
DB01280,DB01073,0.611,Nelarabine,Fludarabine
DB01075,DB01173,0.727,Diphenhydramine,Orphenadrine
DB01173,DB01075,0.727,Orphenadrine,Diphenhydramine
DB01075,DB01237,0.806,Diphenhydramine,Bromodiphenhydramine
DB01237,DB01075,0.806,Bromodiphenhydramine,Diphenhydramine
DB01078,DB01396,0.659,Deslanoside,Digitoxin
DB01396,DB01078,0.659,Digitoxin,Deslanoside
DB01081,DB01501,0.745,Diphenoxylate,Difenoxin
DB01501,DB01081,0.745,Difenoxin,Diphenoxylate
DB01086,DB11148,0.677,Benzocaine,Butamben
DB11148,DB01086,0.677,Butamben,Benzocaine
DB01089,DB01180,0.678,Deserpidine,Rescinnamine
DB01180,DB01089,0.678,Rescinnamine,Deserpidine
DB01089,DB01392,0.61,Deserpidine,Yohimbine
